"MICROBIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"192
MICROBIO","","","","","","","","","","","","","","","","","","",""
"General Microbiology","101
001","173","2.867","12.7","22.5","28.3","8.7","24.3","1.7","1.7",".",".",".",".",".",".",".",".","."
"","102
001","31","3.516","38.7","32.3","22.6","6.5",".",".",".",".",".",".",".",".",".",".",".","."
"","102
002","32","3.484","37.5","34.4","18.8","6.3","3.1",".",".",".",".",".",".",".",".",".",".","."
"General Microbiology Lab","Course Total","63","3.500","38.1","33.3","20.6","6.3","1.6",".",".",".",".",".",".",".",".",".",".","."
"","299
034","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
073","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
087","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","3","***","","","","","","","","","","","","","","","",""
"Procaryotic Microbiology","303
001","222","2.755","13.1","15.3","27.9","12.6","21.6","8.6",".","0.5",".",".",".",".",".","0.5",".","."
"","304
001","36","2.875","11.1","5.6","58.3","2.8","19.4","2.8",".",".",".",".",".",".",".",".",".","."
"","304
002","34","3.044","23.5","11.8","44.1","2.9","11.8","5.9",".",".",".",".",".",".",".",".",".","."
"","304
003","33","3.258","27.3","18.2","45.5","3.0","3.0","3.0",".",".",".",".",".",".",".",".",".","."
"Procaryotic Microbiol Lab","Course Total","103","3.053","20.4","11.7","49.5","2.9","11.7","3.9",".",".",".",".",".",".",".",".",".","."
"Food Bacteriology Lab","324
001","19","3.500","47.4","15.8","31.6",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"Food Bacteriology","325
001","49","2.698","14.3","4.1","32.7","14.3","26.5","6.1",".","2.0",".",".",".",".",".",".",".","."
"Bacterial Genetics","370
001","27","2.870","14.8","18.5","33.3","14.8","7.4","11.1",".",".",".",".",".",".",".",".",".","."
"","399
034","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
075","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","2","***","","","","","","","","","","","","","","","",""
"","526
001","28","2.750","21.4","7.1","32.1","7.1","17.9","14.3",".",".",".",".",".",".",".",".",".","."
"","002
526","24","2.604","8.3","25.0","12.5","12.5","33.3","4.2","4.2",".",".",".",".",".",".",".",".","."
"Physiol of Microorganisms","Course Total","52","2.683","15.4","15.4","23.1","9.6","25.0","9.6","1.9",".",".",".",".",".",".",".",".","."
"","527
001","18","3.278","38.9","11.1","33.3",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"","527
002","17","3.147","29.4","11.8","41.2","5.9","5.9","5.9",".",".",".",".",".",".",".",".",".","."
"","527
003","11","2.955","27.3","9.1","36.4","18.2",".",".","9.1",".",".",".",".",".",".",".",".","."
"Physiol-Microorganisms Lab","Course Total","46","3.152","32.6","10.9","37.0","6.5","8.7","2.2","2.2",".",".",".",".",".",".",".",".","."
"Immunology","528
001","54","3.000","25.9","7.4","42.6","7.4","9.3","5.6","1.9",".",".",".",".",".",".",".",".","."
"Advanced Microbial Genetics","607
001","31","3.468","38.7","16.1","45.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prokaryotic Molecular Biol","612
001","27","3.558","40.7","37.0","11.1","3.7","3.7",".",".",".",".",".",".",".","3.7",".",".","."
"Gen Virology-Multiplication","640
001","21","3.452","42.9","14.3","33.3","9.5",".",".",".",".",".",".",".",".",".",".",".","."
"Trends in Food Safety","670
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","691
043","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","692
035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
006","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
012","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
013","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
035","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
038","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
043","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
057","1","***","","","","","","","","","",".",".",".",".",".",".","."
