"GEOGRAPHY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","","",""
"Intro to Cultural Geog","101","001","177","3.060","11.9","28.8","35.6","14.7","5.1","2.3","1.1","0.6",".",".",".",".",".",".",".","."
"","120","001","120","2.857","21.7","15.0","13.3","20.0","25.8","2.5","0.8","0.8",".",".",".",".",".",".",".","."
"","120","002","154","2.929","17.5","21.4","21.4","16.2","20.1","2.6","0.6",".",".",".",".",".",".",".",".","."
"Global Phys Environments","","Course Total","274","2.897","19.3","18.6","17.9","17.9","22.6","2.6","0.7","0.4",".",".",".",".",".",".",".","."
"Atmspherc Envirnmnt&Society","121","001","50","3.000","24.0","10.0","22.0","30.0","14.0",".",".",".",".",".",".",".",".",".",".","."
"Physical Systems of Envr","127","001","77","2.980","16.9","26.0","22.1","16.9","13.0","1.3","2.6","1.3",".",".",".",".",".",".",".","."
"Soil: Ecosystem & Resource","230","001","15","3.600","46.7","26.7","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Bascom Course","236","001","18","3.778","61.1","33.3","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Plants and Man","240","001","19","3.000","31.6","5.3","36.8","5.3","15.8",".","5.3",".",".",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244","001","7","3.143","28.6","28.6","14.3",".","28.6",".",".",".",".",".",".",".",".",".",".","."
"Civs of India-Modern Period","252","001","13","3.385","30.8","30.8","23.1","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","9","3.000","22.2",".","33.3","44.4",".",".",".",".",".",".",".",".",".",".",".","."
"Population-Migrat&Diffusion","300","001","20","3.150","30.0","30.0","15.0","10.0","10.0",".","5.0",".",".",".",".",".",".",".",".","."
"Human Role-Changing Earth","303","001","13","3.385","53.8","15.4","23.1",".",".",".","7.7",".",".",".",".",".",".",".",".","."
"Introduction to the City","305","001","38","3.216","31.6","15.8","28.9","10.5","7.9","2.6",".",".",".",".",".",".",".",".","2.6","."
"Regional Develop & Planning","312","001","20","3.105","25.0","20.0","20.0","20.0","5.0","5.0",".","5.0",".",".",".",".",".",".",".","."
"Geog,Politics&Territorialty","318","001","59","3.086","11.9","37.3","25.4","16.9","3.4",".","3.4",".",".",".",".",".",".","1.7",".","."
"Envrnmntl Eval & Adaptation","319","001","26","3.654","57.7","23.1","11.5","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Geomorphology","320","001","8","3.188","25.0","12.5","37.5","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"Analysis of Physical Envr","325","001","9","3.333","33.3","44.4",".",".","22.2",".",".",".",".",".",".",".",".",".",".","."
"Climatic Environments-Past","331","001","13","3.458","38.5","23.1","15.4","15.4",".",".",".","7.7",".",".",".",".",".",".",".","."
"","339","001","34","2.773","8.8","14.7","23.5","35.3","8.8","5.9",".",".",".",".",".",".",".","2.9",".","."
"","339","002","25","2.771","8.0","12.0","40.0","8.0","24.0","4.0",".",".",".",".",".",".",".","4.0",".","."
"Environmental Conservation","","Course Total","59","2.772","8.5","13.6","30.5","23.7","15.3","5.1",".",".",".",".",".",".",".","3.4",".","."
"Geography of Wisconsin","342","001","44","3.011","25.0","25.0","20.5","13.6","9.1",".","6.8",".",".",".",".",".",".",".",".","."
"Europe","349","001","104","3.220","37.5","14.4","21.2","8.7","9.6","4.8",".","2.9",".",".",".",".",".","1.0",".","."
"Quantitative Meth-Geog Anal","360","001","23","2.955","13.0","21.7","39.1","4.3","8.7","8.7",".",".",".",".",".",".",".","4.3",".","."
"Introduction to Cartography","370","001","47","3.245","34.0","23.4","21.3","12.8","4.3","2.1","2.1",".",".",".",".",".",".",".",".","."
"Intro to Geog Info Systems","377","001","43","3.500","39.5","30.2","23.3","4.7","2.3",".",".",".",".",".",".",".",".",".",".","."
"Amer Environmental History","460","001","20","3.711","55.0","25.0","15.0",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"Urban Spatial Patterns&Thry","505","001","15","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Environment & Human Experience","519","001","19","3.263","26.3","31.6","36.8",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"Soil Geomorphology","525","001","12","3.864","66.7","25.0",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"Adv Quantitative Methods","560","001","18","3.500","38.9","33.3","16.7","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Colloq-Undergraduate Majors","565","001","19","3.632","57.9","31.6","5.3",".",".","5.3",".",".",".",".",".",".",".",".",".","."
"Graphic Design-Cartography","572","001","13","3.398","61.5","7.7","15.4","7.7",".",".","7.7",".",".",".",".",".",".",".",".","."
"GIS and Spatial Analysis","579","001","27","2.889","14.8","22.2","37.0","7.4","11.1",".","7.4",".",".",".",".",".",".",".",".","."
"","602","046","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","602","074","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","","Course Total","5","***","","","","","","","","","","","","","","","",""
"","699","009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 207 of 399",""
