"INTEGRATED LIBERAL STUDIES Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","",""
"500
ILS","","","","","","","","","","","","","","","","","",""
"198
008","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
009","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
010","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
012","8","",".",".",".",".",".",".",".",".",".","87.5","12.5",".",".",".",".","."
"198
014","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
016","20","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
025","16","",".",".",".",".",".",".",".",".",".","93.8","6.3",".",".",".",".","."
"198
027","16","",".",".",".",".",".",".",".",".",".","93.8","6.3",".",".",".",".","."
"198
031","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
038","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
071","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"072
198","9","",".",".",".",".",".",".",".",".",".","88.9","11.1",".",".",".",".","."
"198
073","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
074","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
075","12","",".",".",".",".",".",".",".",".",".","91.7","8.3",".",".",".",".","."
"198
076","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
078","2","***","","","","","","","","","",".",".",".",".",".",".","."
"198
079","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
080","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
081","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
083","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
085","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
086","22","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
087","6","",".",".",".",".",".",".",".",".",".","83.3",".",".",".",".","16.7","."
"198
088","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
089","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
090","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Course Total
Directed Study","330","",".",".",".",".",".",".",".",".",".","98.2","1.5",".",".",".","0.3","."
"199
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"199
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"199
014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"199
015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"199
062","14","3.286","28.6","21.4","28.6","21.4",".",".",".",".",".",".",".",".",".",".",".","."
"199
063","9","3.778","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"199
064","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"199
065","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Course Total
Directed Study","52","3.767","69.2","17.3","7.7","5.8",".",".",".",".",".",".",".",".",".",".",".","."
"201
001
W Culture:Sci,Tech,Philos I","230","3.240","18.3","33.5","30.4","10.4","6.1",".",".","0.4",".",".",".",".",".",".","0.9","."
"202
001
W Culture:Sci,Tech,Phil II","63","3.347","20.6","39.7","28.6","6.3","3.2",".",".","1.6",".",".",".",".",".",".",".","."
"203
001","276","3.650","57.2","23.6","14.1","2.2","0.4","1.1","0.4","0.7",".",".",".",".",".","0.4",".","."
"203
002","31","3.650","16.1","9.7","6.5",".",".",".",".","67.7",".",".",".",".",".",".",".","."
"Course Total
West Culture:Lit&The Arts I","307","3.650","53.1","22.1","13.4","2.0","0.3","1.0","0.3","7.5",".",".",".",".",".","0.3",".","."
"205
001
W Cult:Pol,Econ&Soc Thght I","286","3.175","16.4","37.8","24.8","12.6","6.3","1.0","1.0",".",".",".",".",".",".",".",".","."
"209
001
Intro to Global Cultures","287","3.540","33.8","47.0","15.3","2.4","0.7","0.7",".",".",".",".",".",".",".",".",".","."
"251
001
Contemporary Phy Sciences","14","3.357","42.9","28.6","21.4",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","Page 226 of 399",""
