"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"766
PL PATH","","","","","","","","","","","","","","","","","","","","","",""
"","990
039","1","***","","","","","","","","","","","",".",".",".",".","",".",".","."
"Research","Course Total","37","",".",".",".",".",".",".","",".","59.5","",".",".",".","32.4","",".",".","8.1","."
"PL PATH
766","Dept. Total","216","3.299","38.9","8.8","16.7","4.6","6.0","0.5","",".","17.1","",".",".",".","5.6","",".","0.5","1.4","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"766
PL PATH","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","12","3.000","8.3","16.7","58.3",".","16.7",".","",".",".","",".",".",".",".","",".",".",".","."
"Sophomore","","16","3.265","18.8","31.3","37.5","12.5",".",".","",".",".","",".",".",".",".","",".",".",".","."
"Junior","","22","3.315","45.5","13.6","27.3",".","13.6",".","",".",".","",".",".",".",".","",".",".",".","."
"Senior","","53","3.087","34.0","11.3","26.4","13.2","11.3","1.9","",".","1.9","",".",".",".",".","",".",".",".","."
"Undergraduates","","103","3.153","31.1","15.5","32.0","8.7","10.7","1.0","",".","1.0","",".",".",".",".","",".",".",".","."
"Special","","9","2.607","22.2",".","11.1","11.1","22.2",".","",".","22.2","",".",".",".",".","",".","11.1",".","."
"Graduate","","104","3.890","48.1","2.9","1.9",".",".",".","",".","32.7","",".",".",".","11.5","",".",".","2.9","."
"","Dept. Total","216","3.299","38.9","8.8","16.7","4.6","6.0","0.5","",".","17.1","",".",".",".","5.6","",".","0.5","1.4","."
