"MUSIC","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"660
MUSIC","","","","","","","","","","","","","","","","","","",""
"","267
005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Ensemble-Brass","Course Total","34","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","268
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","268
002","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble-Percussion","Course Total","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","269
001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","269
004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","269
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","269
006","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","269
007","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Ensemble-String","Course Total","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble-Guitar","270
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
101","11","3.182","36.4","18.2","27.3",".","9.1","9.1",".",".",".",".",".",".",".",".",".","."
"","271
102","8","3.188","25.0","37.5","25.0",".",".","12.5",".",".",".",".",".",".",".",".",".","."
"","103
271","11","3.045","9.1","45.5","9.1","18.2","18.2",".",".",".",".",".",".",".",".",".",".","."
"","271
104","10","3.300","30.0","20.0","30.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"Musica Pract:Aural Skills 3","Course Total","40","3.175","25.0","30.0","22.5","10.0","7.5","5.0",".",".",".",".",".",".",".",".",".","."
"Contemp Chamber Ensemble","273
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Philomusica","275
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Bl Mus-Rhythm Sec & Combos","308
001","26","3.269","30.8","23.1","23.1","15.4","7.7",".",".",".",".",".",".",".",".",".",".","."
"African-Am Mus-Hist Perspectv","316
001","6","3.000",".","66.7","16.7",".",".","16.7",".",".",".",".",".",".",".",".",".","."
"Jazz Improvisation","331
001","11","3.818","81.8","9.1",".","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Pedagogy","340
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","346
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","346
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","346
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Repertoire","Course Total","8","3.692","50.0","25.0","12.5",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"","361
001","11","3.636","63.6","9.1","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","361
002","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","361
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","361
004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Non-Western Music Performnc","Course Total","29","3.759","82.8","3.4","6.9","3.4",".","3.4",".",".",".",".",".",".",".",".",".","."
"","40
001","40","3.875","95.0",".","2.5",".",".",".","2.5",".",".",".",".",".",".",".",".","."
"","40
002","57","3.982","96.5",".","1.8",".",".",".",".",".",".",".",".",".",".",".","1.8","."
"Wind Ensemble","Course Total","97","3.938","95.9",".","2.1",".",".",".","1.0",".",".",".",".",".",".",".","1.0","."
"Musical Cultures-World","401
001","12","3.375","50.0",".","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"","41
001","107","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","41
002","100","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","41
003","98","3.990","98.0","2.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Bands","Course Total","305","3.997","99.3","0.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Survey Music-Classic Era","414
001","25","3.479","56.0","12.0","16.0",".","8.0","4.0",".","4.0",".",".",".",".",".",".",".","."
"Survey Music-Romantic Era","415
001","27","3.426","33.3","22.2","40.7","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"Survey Music-20th C","416
001","23","3.714","52.2","30.4","4.3","4.3",".",".",".","8.7",".",".",".",".",".",".",".","."
