"ENGR MECHANICS & ASTRONA","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"346
E M A","","","","","","","","","","","","","","","","","","","",""
"1
Cooperative Education Prog","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"201","001","","107","2.790","10.3","15.0","27.1","29.0","15.0","1.9","1.9",".",".",".",".",".",".",".",".","."
"201","002","","45","2.789","4.4","26.7","26.7","24.4","13.3",".","4.4",".",".",".",".",".",".",".",".","."
"Statics","Course Total","","152","2.789","8.6","18.4","27.0","27.6","14.5","1.3","2.6",".",".",".",".",".",".",".",".","."
"202","001","","86","3.047","17.4","15.1","45.3","8.1","11.6","2.3",".",".",".",".",".",".",".",".",".","."
"202","002","","40","2.738","15.0","5.0","37.5","17.5","17.5","5.0","2.5",".",".",".",".",".",".",".",".","."
"Dynamics","Course Total","","126","2.948","16.7","11.9","42.9","11.1","13.5","3.2","0.8",".",".",".",".",".",".",".",".","."
"303
Mechanics of Materials","001","","90","2.911","20.0","8.9","43.3","4.4","16.7","5.6","1.1",".",".",".",".",".",".",".",".","."
"307","001","","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"307","002","","6","3.333","50.0",".","33.3",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"307","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"307","005","","11","3.455","45.5","18.2","18.2","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"307","006","","11","3.000","27.3",".","36.4","18.2","18.2",".",".",".",".",".",".",".",".",".",".","."
"307","007","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"307","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Mechanics of Materials Lab","Course Total","","44","3.375","43.2","13.6","25.0","11.4","6.8",".",".",".",".",".",".",".",".",".",".","."
"405
Practicum-Finite Elements","001","","31","3.177","35.5","35.5","6.5",".","9.7","12.9",".",".",".",".",".",".",".",".",".","."
"469
Design Probs in Engineering","001","","36","3.500","38.9","38.9","13.9",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"506
Adv Mech of Materials I","001","","50","3.260","26.0","28.0","20.0","24.0","2.0",".",".",".",".",".",".",".",".",".",".","."
"521
Aerodynamics","001","","36","2.722","2.8","11.1","36.1","38.9","8.3",".","2.8",".",".",".",".",".",".",".",".","."
"542
Advanced Dynamics","001","","40","2.638","15.0","22.5","15.0","15.0","17.5","7.5","7.5",".",".",".",".",".",".",".",".","."
"547
Engineering Analysis I","001","","6","3.250","33.3",".","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"570
Experimental Mechanics","001","","12","3.292","25.0","33.3","25.0","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"599","007","","15","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"599","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"599","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","17","3.750","5.9","5.9",".",".",".",".",".","88.2",".",".",".",".",".",".",".","."
"605
Intro to Finite Elements","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"630
Viscoelastic Solids","001","","21","3.833","81.0","4.8","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"690","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"690","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"690","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research","Course Total","","3","***","","","","","","","","","","","","","","","",""
"700
Theory of Elasticity","001","","7","3.571","28.6","57.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"708
Advanced Composite Material","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"742
Thry & Applicatns-Adv Dynamics","001","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research and Thesis","Course Total","","4","***","","","","","","","","","","","","","","","",""
"890","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","011","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"890","014","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 118 of 399",""
