"BIOCHEMISTRY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"200
BIOCHEM","","","","","","","","","","","","","","","","","","","",""
"681","040","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"681","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","10","4.000","80.0",".",".",".",".",".",".",".",".",".",".","10.0",".",".","10.0","."
"682","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"691","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"691","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","8","4.000","62.5",".",".",".",".",".",".",".",".",".",".","37.5",".",".",".","."
"699","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","039","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","046","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","053","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","057","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","061","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","070","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","31","3.872","80.6","9.7","3.2",".",".",".",".",".",".",".",".",".","3.2",".","3.2","."
"729","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"729","002","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Advanced Topics","Course Total","","10","2.000",".",".",".",".","10.0",".",".","90.0",".",".",".",".",".",".",".","."
"799
Practicum-Biochem Teaching","042","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"800
Prac Nuc Mag Resonance Thry","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"875
Special Topics","001","","13","3.923","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"901
Smr-Nutr&Metabolism (Adv)","001","","24","3.808","33.3","20.8",".",".",".",".",".","45.8",".",".",".",".",".",".",".","."
"902
Sem-Plant Biochem Advanced","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"905
Smr-Biomolec Structur (Adv)","001","","10","3.700","60.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
