"MED","","","","","","","","","","","","","","","","","","","","","",""
"BIOMOLECULAR CHEMISTRY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"758
BMOLCHEM","","","","","","","","","","","","","","","","","","","","","",""
"BMOLCHEM
758","Dept. Total","485","3.379","34.0","18.1","25.4","4.9","2.5","0.4","0.4","12.4","",".",".","",".","1.2","",".",".","0.4","0.2"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"758
BMOLCHEM","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","39","3.000","20.5","15.4","30.8","15.4","15.4","2.6",".",".","",".",".","",".",".","",".",".",".","."
"Junior","","78","3.331","29.5","30.8","25.6","11.5","1.3",".","1.3",".","",".",".","",".",".","",".",".",".","."
"Senior","","51","3.320","37.3","17.6","31.4","5.9","5.9","2.0",".",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","168","3.250","29.8","23.2","28.6","10.7","6.0","1.2","0.6",".","",".",".","",".",".","",".",".",".","."
"Special","","11","3.273","45.5","27.3","9.1","9.1",".",".","9.1",".","",".",".","",".",".","",".",".",".","."
"Graduate","","140","3.761","40.0","7.9","2.9","1.4","0.7",".",".","42.1","",".",".","",".","3.6","",".",".","1.4","."
"Prof Yr 1","","160","3.412","31.9","21.3","43.8","1.9","0.6",".",".",".","",".",".","",".",".","",".",".",".","0.6"
"Prof Yr 3","","5","3.800","60.0","20.0",".",".",".",".",".",".","",".",".","",".","20.0","",".",".",".","."
"Prof Yr 4","","1","",".",".",".",".",".",".",".","100.0","",".",".","",".",".","",".",".",".","."
"Professionals","","166","3.414","32.5","21.1","42.2","1.8","0.6",".",".","0.6","",".",".","",".","0.6","",".",".",".","0.6"
"","Dept. Total","485","3.379","34.0","18.1","25.4","4.9","2.5","0.4","0.4","12.4","",".",".","",".","1.2","",".",".","0.4","0.2"
