"NUTRITIONAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"694
NUTR SCI","","","","","","","","","","","","","","","","","","","",""
"132","001","","489","2.790","16.0","16.8","22.5","12.9","26.0","4.9","1.0",".",".",".",".",".",".",".",".","."
"132","002","","492","2.685","13.8","12.0","21.7","19.7","25.2","4.7","2.2","0.4",".",".",".",".",".","0.2",".","."
"132","003","","247","2.691","10.9","12.6","25.9","14.6","24.7","4.9","1.6","4.5",".",".",".",".","0.4",".",".","."
"Nutrition Today","Course Total","","1228","2.729","14.1","14.0","22.9","16.0","25.4","4.8","1.6","1.1",".",".",".",".","0.1","0.1",".","."
"200
Prof-Dietetics & Nutrition","001","","105","",".",".",".",".",".",".",".",".",".","99.0","1.0",".",".",".",".","."
"299","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
"311
Comparative Animal Nutritn","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"320
Nutrition for Health & Disease","001","","71","3.428","38.0","28.2","19.7","7.0","2.8",".","1.4","2.8",".",".",".",".",".",".",".","."
"332
Human Nutritional Needs","001","","63","2.849","12.7","15.9","33.3","17.5","15.9","3.2","1.6",".",".",".",".",".",".",".",".","."
"510
Biochm Prin-Human&Anml Nutr","001","","86","3.064","17.4","29.1","23.3","14.0","14.0","2.3",".",".",".",".",".",".",".",".",".","."
"520
Applications-Clin Nutrition","001","","15","3.700","46.7","46.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"600
Intro Seminar in Nutrition","001","","9","3.667","44.4","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"621
Intro-Nutritnl Epidemiology","002","","25","3.420","40.0","8.0","48.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"626
Experimental Diet Design","001","","9","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"631
Clinical Nutrition","001","","61","2.984","18.0","29.5","21.3","9.8","13.1","8.2",".",".",".",".",".",".",".",".",".","."
"681
Senior Honors Thesis","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","7","3.864","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pract-Nutri Sciences Tchg","Course Total","","5","***","","","","","","","","","","","","","","","",""
"875
Special Topics","001","","9","3.667","44.4","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"931
Seminar-Nutrition","001","","31","4.000","6.5",".",".",".",".",".",".","93.5",".",".",".",".",".",".",".","."
"991","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"991","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"991","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"991","008","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"991","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"991","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
