"","990
017","1","***","","","","","","","","","",".",".","",".","",".",".",".","."
"","990
060","1","***","","","","","","","","","",".",".","",".","",".",".",".","."
"Thesis Research","Course Total","5","***","","","","","","","","","","","","","","","","","",""
"Independent Research","999
027","1","***","","","","","","","","","",".",".","",".","",".",".",".","."
"E ASIAN
295","Dept. Total","748","3.405","40.8","28.2","14.2","5.6","3.9","1.5","0.9","3.2","0.1","0.5","",".","",".","1.1",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"295
E ASIAN","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","122","3.382","41.8","25.4","17.2","7.4","4.1","3.3",".","0.8",".",".","",".","",".",".",".",".","."
"Sophomore","","165","3.396","37.6","33.9","16.4","7.3","2.4","1.8","0.6",".",".",".","",".","",".",".",".",".","."
"Junior","","176","3.381","39.2","30.7","15.3","6.8","5.1","0.6","1.1","0.6","0.6",".","",".","",".",".",".",".","."
"Senior","","165","3.428","40.6","27.9","13.3","3.0","4.8","1.8","1.2","6.1",".","1.2","",".","",".",".",".",".","."
"Undergraduates","","628","3.396","39.6","29.8","15.4","6.1","4.1","1.8","0.8","1.9","0.2","0.3","",".","",".",".",".",".","."
"Special","","27","2.846","25.9","11.1","22.2","7.4","11.1",".","7.4","14.8",".",".","",".","",".",".",".",".","."
"Graduate","","91","3.771","51.6","23.1","3.3","2.2",".",".",".","8.8",".","2.2","",".","",".","8.8",".",".","."
"Prof Yr 2","","1","4.000","100.0",".",".",".",".",".",".",".",".",".","",".","",".",".",".",".","."
"Prof Yr 3","","1","4.000","100.0",".",".",".",".",".",".",".",".",".","",".","",".",".",".",".","."
"Professionals","","2","4.000","100.0",".",".",".",".",".",".",".",".",".","",".","",".",".",".",".","."
"","Dept. Total","748","3.405","40.8","28.2","14.2","5.6","3.9","1.5","0.9","3.2","0.1","0.5","",".","",".","1.1",".",".","."
