"INTEGRATED LIBERAL STUDIES Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"500
ILS","","","","","","","","","","","","","","","","","","","","",""
"252
001
Contemporary Life Sciences","137","3.033","21.9","10.9","42.3","5.8","15.3","0.7","1.5","0.7",".","",".",".",".","",".","",".","0.7","."
"254
001
Literature and Science","66","3.192","28.8","25.8","25.8","6.1","4.5","7.6",".","1.5",".","",".",".",".","",".","",".",".","."
"275
001","4","***","","","","","","","","","","",".",".",".","",".","",".",".","."
"275
002","6","3.333","33.3","16.7","33.3","16.7",".",".",".",".",".","",".",".",".","",".","",".",".","."
"275
003","16","3.143","37.5","18.8",".","18.8","6.3",".","6.3","12.5",".","",".",".",".","",".","",".",".","."
"Course Total
Special Topics in ILS","26","3.229","34.6","19.2","15.4","15.4","3.8",".","3.8","7.7","",".",".",".","",".","",".",".",".","."
"400
001
Capstone Integration Seminar","16","3.750","68.8","12.5","18.8",".",".",".",".",".",".","",".",".",".","",".","",".",".","."
"490
014","1","***","","","","","","","","","","",".",".",".","",".","",".",".","."
"490
076","17","3.971","94.1","5.9",".",".",".",".",".",".",".","",".",".",".","",".","",".",".","."
"Course Total
Rsch-Integrated LiberalStudies","18","3.973","94.4","5.6",".",".",".",".",".",".","",".",".",".","",".","",".",".",".","."
"ILS
Dept. Total
500","1832","3.372","26.7","25.4","18.2","5.2","3.4","0.8","0.4","1.6","",".","17.7","0.3","",".","",".","0.1","0.2","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"500
ILS","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","828","3.311","22.5","23.1","16.7","6.2","3.5","1.0","0.5",".","",".","26.1","0.5","",".","",".",".","0.1","."
"Sophomore","513","3.402","27.5","30.2","20.3","4.3","3.5","0.4","0.2",".","",".","13.3","0.2","",".","",".","0.2",".","."
"Junior","236","3.364","30.5","22.0","22.5","6.8","3.4","1.3",".","1.7","",".","10.6",".","",".","",".",".","1.3","."
"Senior","219","3.471","38.8","29.7","16.4","3.2","3.2","0.5","1.4","1.8","",".","5.0",".","",".","",".",".",".","."
"Undergraduates","1796","3.369","26.9","25.8","18.4","5.3","3.5","0.8","0.4","0.4","",".","17.8","0.3","",".","",".","0.1","0.2","."
"Special","36","3.682","16.7","8.3","5.6",".",".",".",".","58.3","",".","11.1",".","",".","",".",".",".","."
"Dept. Total","1832","3.372","26.7","25.4","18.2","5.2","3.4","0.8","0.4","1.6","",".","17.7","0.3","",".","",".","0.1","0.2","."
