"LEGAL STUDIES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"535
LEGAL ST","","","","","","","","","","","","","","","","","","","",""
"131
Criminal Justice in America","001","","95","2.853","16.8","14.7","24.2","16.8","24.2","3.2",".",".",".",".",".",".",".",".",".","."
"217
Law, Politics and Society","001","","35","3.414","37.1","37.1","5.7","11.4","8.6",".",".",".",".",".",".",".",".",".",".","."
"415
The Legal Profession","001","","18","3.028",".","27.8","55.6","11.1","5.6",".",".",".",".",".",".",".",".",".",".","."
"450","002","","9","3.563","44.4","11.1","33.3",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"450","009","","8","3.500","25.0","50.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"450","010","","10","2.900",".","40.0","50.0",".",".",".","10.0",".",".",".",".",".",".",".",".","."
"Topic:Legal Studies&Humanities","Course Total","","27","3.288","22.2","33.3","37.0",".",".",".","3.7","3.7",".",".",".",".",".",".",".","."
"641
Sociology of Law","001","","59","2.898","13.6","27.1","27.1","13.6","10.2","5.1","3.4",".",".",".",".",".",".",".",".","."
"650","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"650","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"650","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Seminar in Legal Studies","Course Total","","6","3.467","33.3","50.0",".",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"691
Senior Thesis","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692
Senior Thesis","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
