"PHYSICS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"754
PHYSICS","","","","","","","","","","","","","","","","","","","",""
"","103","001","271","2.851","18.1","17.0","16.2","20.3","25.5","3.0",".",".",".",".",".",".",".",".",".","."
"","103","002","244","2.875","20.5","17.6","18.0","16.4","22.1","4.5","0.8",".",".",".",".",".",".",".",".","."
"General Physics","","Course Total","515","2.862","19.2","17.3","17.1","18.4","23.9","3.7","0.4",".",".",".",".",".",".",".",".","."
"General Physics","104","001","228","2.905","16.2","14.9","27.2","23.2","14.9","1.3","1.3","0.9",".",".",".",".",".",".",".","."
"Ideas of Modern Physics","107","001","123","3.033","17.9","19.5","27.6","19.5","12.2",".","0.8","2.4",".",".",".",".",".",".",".","."
"","109","001","126","2.704","17.5","14.3","15.1","17.5","27.0","5.6","2.4",".","0.8",".",".",".",".",".",".","."
"","109","002","115","2.735","19.1","20.9","13.9","11.3","21.7","10.4","2.6",".",".",".",".",".",".",".",".","."
"Physics in the Arts","","Course Total","241","2.719","18.3","17.4","14.5","14.5","24.5","7.9","2.5",".","0.4",".",".",".",".",".",".","."
"Energy","115","001","48","3.583","37.5","41.7","20.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"General Physics","201","001","168","2.771","16.1","12.5","25.0","10.7","33.3","0.6","1.8",".",".",".",".",".",".",".",".","."
"","202","001","180","3.047","13.3","26.1","32.8","17.8","7.8","1.7","0.6",".",".",".",".",".",".",".",".","."
"","202","002","183","3.055","10.9","23.5","42.6","18.0","2.7","1.1","1.1",".",".",".",".",".",".",".",".","."
"General Physics","","Course Total","363","3.051","12.1","24.8","37.7","17.9","5.2","1.4","0.8",".",".",".",".",".",".",".",".","."
"Mod Physics for Engineers","205","001","40","2.850","17.5","20.0","17.5","15.0","27.5",".","2.5",".",".",".",".",".",".",".",".","."
"General Physics","207","001","254","2.789","23.2","7.9","21.7","7.5","35.0","3.5","0.8","0.4",".",".",".",".",".",".",".","."
"General Physics","208","001","149","3.034","26.2","10.7","28.2","17.4","16.1","0.7","0.7",".",".",".",".",".",".",".",".","."
"Intro to Modern Physics","241","001","33","3.152","24.2","21.2","30.3","21.2",".",".","3.0",".",".",".",".",".",".",".",".","."
"Modern Physics","244","001","38","3.237","26.3","15.8","39.5","15.8","2.6",".",".",".",".",".",".",".",".",".",".","."
"A Modern Intro to Physics","247","001","45","3.500","53.3","17.8","17.8","2.2","6.7","2.2",".",".",".",".",".",".",".",".",".","."
"A Modern Intro to Physics","249","001","19","3.579","57.9","21.1","15.8",".",".","5.3",".",".",".",".",".",".",".",".",".","."
"Directed Study","299","061","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","307","001","9","3.611","33.3","55.6","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307","002","15","3.714","46.7","40.0","6.7",".",".",".",".",".",".",".",".",".",".","6.7",".","."
"","307","003","11","3.455","18.2","72.7",".",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"","307","004","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307","005","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intmed Lab-Mech&Mod Physics","","Course Total","52","3.716","51.9","40.4","3.8",".","1.9",".",".",".",".",".",".",".",".","1.9",".","."
"Mechanics","311","001","48","2.926","18.8","27.1","16.7","16.7","12.5",".","6.3",".",".",".",".",".",".","2.1",".","."
"Elect Circuits & Electronic","321","001","25","2.700","12.0","20.0","24.0","16.0","20.0",".","8.0",".",".",".",".",".",".",".",".","."
"Electromagnetic Fields","322","001","35","2.922","20.0","14.3","28.6","11.4","8.6","5.7","2.9","2.9",".",".",".",".",".","2.9","2.9","."
"Thermal Physics","415","001","47","3.000","17.0","17.0","38.3","4.3","23.4",".",".",".",".",".",".",".",".",".",".","."
"Atomic and Quantum Physics","448","001","48","2.948","22.9","18.8","27.1","8.3","16.7","2.1","4.2",".",".",".",".",".",".",".",".","."
"Radioisotopes-Med & Biology","463","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","499","061","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","499","097","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","2","***","","","","","","","","","","","","","","","",""
"Radiolgcal Physcs&Dosimetry","501","002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Introduction to Plasmas","525","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Particle Physics","535","001","6","3.583","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Solid State Physics","551","001","31","3.833","67.7","25.8","3.2",".",".",".",".",".",".",".",".",".",".",".","3.2","."
"Applied Optics","625","001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681","097","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 272 of 399",""
