"PHYSICAL EDUC ACTIVITY PRO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","","",""
"Relaxation Tech & Exercise","Course Total","","91","3.613","46.2","17.6","8.8","1.1","3.3",".","1.1","20.9",".",".",".",".",".",".","1.1","."
"","138
001","","8","3.500","25.0","37.5","25.0",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"","138
002","","15","3.050","13.3","20.0","20.0",".","6.7","6.7",".","26.7",".",".",".",".",".","6.7",".","."
"","138
003","","14","2.875","7.1",".","7.1","7.1","7.1",".",".","71.4",".",".",".",".",".",".",".","."
"","138
004","","15","3.500","33.3","6.7",".","6.7","6.7",".",".","40.0",".",".",".",".","6.7",".",".","."
"","138
005","","12","3.800","25.0","16.7",".",".",".",".",".","50.0","8.3",".",".",".",".",".",".","."
"Golf I","Course Total","","64","3.338","20.3","14.1","9.4","3.1","4.7","1.6",".","42.2","1.6",".",".",".","1.6","1.6",".","."
"","140
001","","23","3.472","39.1","21.7","13.0",".",".",".","4.3","21.7",".",".",".",".",".",".",".","."
"","140
002","","19","3.692","47.4","10.5","5.3",".","5.3",".",".","26.3",".",".",".",".",".","5.3",".","."
"Ice Skating I","Course Total","","42","3.565","42.9","16.7","9.5",".","2.4",".","2.4","23.8",".",".",".",".",".","2.4",".","."
"Ice Skating II","145
001","","21","3.594","28.6","33.3","14.3",".",".",".",".","23.8",".",".",".",".",".",".",".","."
"Fitness Walking","149
001","","13","3.417","7.7","23.1","15.4",".",".",".",".","53.8",".",".",".",".",".",".",".","."
"Badminton I","155
001","","19","3.167","15.8","21.1","26.3","5.3","10.5",".",".","21.1",".",".",".",".",".",".",".","."
"","157
001","","19","3.471","21.1","42.1","26.3",".",".",".",".","10.5",".",".",".",".",".",".",".","."
"","157
002","","23","3.477","21.7","47.8","26.1",".",".",".",".","4.3",".",".",".",".",".",".",".","."
"","157
003","","16","3.750","56.3","18.8","12.5",".",".",".",".","6.3",".",".",".",".",".","6.3",".","."
"Topics in Fencing","Course Total","","58","3.547","31.0","37.9","22.4",".",".",".",".","6.9",".",".",".",".",".","1.7",".","."
"","162
001","","21","3.577","23.8","33.3",".",".","4.8",".",".","38.1",".",".",".",".",".",".",".","."
"","162
002","","19","3.318","15.8","15.8","21.1",".","5.3",".",".","42.1",".",".",".",".",".",".",".","."
"","162
003","","14","3.000",".","14.3","28.6",".","7.1",".",".","50.0",".",".",".",".",".",".",".","."
"Tennis I","Course Total","","54","3.355","14.8","22.2","14.8",".","5.6",".",".","42.6",".",".",".",".",".",".",".","."
"","163
001","","17","3.889","41.2","11.8",".",".",".",".",".","47.1",".",".",".",".",".",".",".","."
"","163
002","","11","4.000","63.6",".",".",".",".",".",".","27.3",".",".",".",".",".",".",".","9.1"
"","163
003","","17","3.900","70.6","17.6",".",".",".",".",".","11.8",".",".",".",".",".",".",".","."
"Racquetball I","Course Total","","45","3.919","57.8","11.1",".",".",".",".",".","28.9",".",".",".",".",".",".",".","2.2"
"Basketball I","170
001","","26","3.360","38.5","38.5","7.7",".","3.8","3.8","3.8","3.8",".",".",".",".",".",".",".","."
"Soccer I","173
001","","25","3.455","28.0","28.0","28.0","4.0",".",".",".","12.0",".",".",".",".",".",".",".","."
"","175
001","","35","3.385","20.0","28.6","17.1","5.7","2.9",".",".","25.7",".",".",".",".",".",".",".","."
"","175
002","","30","3.615","40.0","30.0","13.3","3.3",".",".",".","13.3",".",".",".",".",".",".",".","."
"Volleyball I","Course Total","","65","3.500","29.2","29.2","15.4","4.6","1.5",".",".","20.0",".",".",".",".",".",".",".","."
"","201
001","","23","3.633","26.1","30.4","8.7",".",".",".",".","34.8",".",".",".",".",".",".",".","."
"","201
002","","16","3.833","62.5","31.3",".",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"Intermediate Swimming","Course Total","","39","3.733","41.0","30.8","5.1",".",".",".",".","23.1",".",".",".",".",".",".",".","."
"","211
001","","19","3.583","57.9","26.3","5.3",".",".",".","5.3","5.3",".",".",".",".",".",".",".","."
"","211
002","","20","3.789","80.0","10.0",".",".",".","5.0",".","5.0",".",".",".",".",".",".",".","."
"Intro to Martial Arts","Course Total","","39","3.689","69.2","17.9","2.6",".",".","2.6","2.6","5.1",".",".",".",".",".",".",".","."
"Bowling II","227
001","","20","3.550","25.0","10.0","10.0","5.0",".",".",".","50.0",".",".",".",".",".",".",".","."
"Weight Training II","232
001","","19","3.639","36.8","47.4","10.5",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"Golf II","238
001","","13","3.591","38.5","23.1","23.1",".",".",".",".","15.4",".",".",".",".",".",".",".","."
"Power Skating","244
001","","20","3.500","50.0","15.0","20.0",".","10.0",".",".","5.0",".",".",".",".",".",".",".","."
"","262
001","","17","3.650","41.2","5.9","5.9",".","5.9",".",".","41.2",".",".",".",".",".",".",".","."
"","262
002","","15","3.545","26.7","26.7","20.0",".",".",".",".","26.7",".",".",".",".",".",".",".","."
"Tennis II","Course Total","","32","3.595","34.4","15.6","12.5",".","3.1",".",".","34.4",".",".",".",".",".",".",".","."
