"","990
108","2","***","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
109","1","***","","","","","","","","","","",".",".",".",".","",".",".","."
"Research","Course Total","107","",".",".",".",".",".",".",".","91.6","",".",".",".","6.5","",".","0.9","0.9","."
"Seminar in Genetics","993
001","2","***","","","","","","","","","","",".",".",".",".","",".",".","."
"GENETICS
412","Dept. Total","729","3.029","37.0","8.2","14.8","5.2","13.6","4.8","1.4","13.6","",".",".",".","1.0","",".","0.1","0.3","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"412
GENETICS","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","14","2.425","14.3","7.1","35.7","7.1","14.3","14.3","7.1",".","",".",".",".",".","",".",".",".","."
"Sophomore","","76","3.140","55.3","10.5","6.6","7.9","10.5","7.9","1.3",".","",".",".",".",".","",".",".",".","."
"Junior","","177","2.694","26.0","4.5","24.3","7.3","26.6","7.9","2.8",".","",".",".",".",".","",".",".","0.6","."
"Senior","","239","3.090","43.9","9.6","17.6","6.7","15.9","5.4","0.8",".","",".",".",".",".","",".",".",".","."
"Undergraduates","","506","2.932","38.5","7.9","18.8","7.1","18.8","6.9","1.8",".","",".",".",".",".","",".",".","0.2","."
"Special","","2","3.000","50.0",".",".",".","50.0",".",".",".","",".",".",".",".","",".",".",".","."
"Graduate","","213","3.629","33.3","8.9","5.6","0.9","0.9",".","0.5","46.0","",".",".",".","2.8","",".","0.5","0.5","."
"Prof Yr 1","","3","2.833",".","33.3","33.3",".","33.3",".",".",".","",".",".",".",".","",".",".",".","."
"Prof Yr 3","","4","4.000","75.0",".",".",".",".",".",".","25.0","",".",".",".",".","",".",".",".","."
"Prof Yr 4","","1","",".",".",".",".",".",".",".",".","",".",".",".","100.0","",".",".",".","."
"Professionals","","8","3.300","37.5","12.5","12.5",".","12.5",".",".","12.5","",".",".",".","12.5","",".",".",".","."
"","Dept. Total","729","3.029","37.0","8.2","14.8","5.2","13.6","4.8","1.4","13.6","",".",".",".","1.0","",".","0.1","0.3","."
