"SCIENCE & TECHNOLOGY STUD Section","#","","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"875
STS","","","","","","","","","","","","","","","","","","","","","","","","","",""
"201
001
Sci & Technol in Modern World","","34","3.532","29.4","41.2","17.6","2.9","",".",".","",".","","8.8",".","",".",".","",".","",".","",".",".","."
"STS
Dept. Total
875","","34","3.532","29.4","41.2","17.6","2.9","",".","",".","",".","8.8","",".",".","",".","",".","",".",".",".","."
"Summary by Level","#","","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"875
STS","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","3","3.333","33.3",".","66.7",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","5","3.600","40.0","40.0","20.0",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","15","3.500","20.0","53.3","6.7","6.7","",".","",".","",".","13.3","",".",".","",".","",".","",".",".",".","."
"Senior","","10","3.600","40.0","40.0","20.0",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","33","3.532","30.3","42.4","18.2","3.0","",".","",".","",".","6.1","",".",".","",".","",".","",".",".",".","."
"Special","","1","",".",".",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"Dept. Total","","34","3.532","29.4","41.2","17.6","2.9","",".","",".","",".","8.8","",".",".","",".","",".","",".",".",".","."
