"","","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"EDU","","","","","","","","","","","","","","","","","","","","",""
"DANCE PROGRAM","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"741
DANCE","","","","","","","","","","","","","","","","","","","","",""
"","11","001","","22","3.750","81.8","4.5",".","9.1","4.5",".",".",".",".",".",".",".",".",".",".","."
"","11","002","","25","3.960","96.0",".","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Modern Dance I","","Course Total","","47","3.862","89.4","2.1","2.1","4.3","2.1",".",".",".",".",".",".",".",".",".",".","."
"Modern Dance Technique I","111","001","","23","3.761","56.5","39.1","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Modern Dance II","12","001","","23","3.738","78.3","4.3","4.3",".",".",".","4.3","8.7",".",".",".",".",".",".",".","."
"Ballet Technique I","125","001","","21","3.190","28.6","28.6","19.0","9.5","9.5","4.8",".",".",".",".",".",".",".",".",".","."
"Rhythmic Training for Dancers","144","001","","18","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Movemnt as Matl Thru Improv","151","001","","13","3.577","53.8","23.1","7.7","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"Asian American Movement","153","001","","12","3.967","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Movement Analysis","167","001","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dance Production","170","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dance Production Laboratory","171","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","177","001","","29","3.840","69.0","10.3","3.4","3.4",".",".",".","13.8",".",".",".",".",".",".",".","."
"","177","002","","28","3.870","82.1","7.1","3.6","3.6",".",".",".",".",".",".",".",".",".",".",".","3.6"
"African Dance","","Course Total","","57","3.856","75.4","8.8","3.5","3.5",".",".",".","7.0",".",".",".",".",".",".",".","1.8"
"Ballet I","21","001","","26","3.909","73.1","7.7","3.8",".",".",".",".","15.4",".",".",".",".",".",".",".","."
"Modern Dance Technique III","211","001","","15","3.700","53.3","33.3","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Modern Dance Technique IV","212","001","","16","3.000","18.8",".","75.0",".",".",".","6.3",".",".",".",".",".",".",".",".","."
"Ballet II","22","001","","26","3.813","57.7","34.6",".",".",".",".",".","3.8",".",".",".",".",".","3.8",".","."
"Ballet Technique II","225","001","","14","3.077","21.4","14.3","21.4","28.6","7.1",".",".","7.1",".",".",".",".",".",".",".","."
"Survey-Interarts & Technology","260","001","","10","3.550","40.0","30.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Modern Jazz Dance","31","001","","23","3.810","65.2","17.4","8.7",".",".",".",".","8.7",".",".",".",".",".",".",".","."
"Modern Dance Technique V","311","001","","10","3.500","60.0",".","30.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Ballet Technique III","325","001","","15","3.318","33.3","20.0","13.3",".",".",".","6.7","20.0",".",".",".",".",".","6.7",".","."
"Video Desgn-Perf&Visual Art","351","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Javanese Performance","353","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Dance Composition II","355","001","","7","3.667","42.9","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","14.3"
"","399","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","014","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Project","","Course Total","","14","3.417","64.3","7.1","14.3",".",".",".","7.1",".",".",".",".",".",".","7.1",".","."
"","41","001","","36","3.964","72.2","5.6",".",".",".",".",".","19.4",".",".",".",".",".",".",".","2.8"
"","41","002","","36","3.944","66.7","8.3",".",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"","41","003","","36","3.948","72.2","8.3",".",".",".",".",".","19.4",".",".",".",".",".",".",".","."
"","41","004","","37","3.903","83.8","10.8",".","2.7",".",".",".","2.7",".",".",".",".",".",".",".","."
"","41","005","","38","3.847","84.2","2.6",".","5.3","2.6",".",".","5.3",".",".",".",".",".",".",".","."
"","41","006","","37","3.985","86.5","2.7",".",".",".",".",".","10.8",".",".",".",".",".",".",".","."
"","41","007","","39","3.778","76.9","5.1","7.7",".",".",".","2.6","7.7",".",".",".",".",".",".",".","."
"","41","008","","30","3.981","83.3","3.3",".",".",".",".",".","13.3",".",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","","","Page 97 of 399"
