"PHYSICAL EDUC ACTIVITY PRO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","",""
"Exercise,Nutrition,&Health","100
001","300","2.763","16.7","11.3","27.7","13.3","21.3","6.3","1.7","1.7",".",".",".",".",".",".",".","."
"","102
001","16","3.542","43.8","12.5","6.3","6.3","6.3",".",".","25.0",".",".",".",".",".",".",".","."
"","102
002","17","3.867","70.6","11.8","5.9",".",".",".",".","11.8",".",".",".",".",".",".",".","."
"Beginning Swimming","Course Total","33","3.722","57.6","12.1","6.1","3.0","3.0",".",".","18.2",".",".",".",".",".",".",".","."
"","125
001","6","4.000","16.7",".",".",".",".",".",".","66.7",".",".",".",".",".",".","16.7","."
"","125
002","31","4.000","9.7",".",".",".",".",".",".","74.2",".",".",".",".",".",".","16.1","."
"","125
003","24","",".",".",".",".",".",".",".","79.2",".",".",".",".",".",".","20.8","."
"","125
004","14","4.000","7.1",".",".",".",".",".",".","71.4",".",".",".",".",".",".","21.4","."
"Adapted Fitness&Pers Traing","Course Total","75","4.000","6.7",".",".",".",".",".",".","74.7",".",".",".",".",".",".","18.7","."
"","127
001","18","3.545","22.2","22.2","16.7",".",".",".",".","38.9",".",".",".",".",".",".",".","."
"","127
002","9","3.250",".","22.2","22.2",".",".",".",".","55.6",".",".",".",".",".",".",".","."
"","127
003","15","3.375","13.3","20.0","13.3","6.7",".",".",".","46.7",".",".",".",".",".",".",".","."
"","127
004","18","3.800","50.0","33.3",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"","127
005","22","3.700","18.2","27.3",".",".",".",".",".","54.5",".",".",".",".",".",".",".","."
"","127
006","14","3.375","7.1","35.7","7.1","7.1",".",".",".","42.9",".",".",".",".",".",".",".","."
"Bowling I","Course Total","96","3.571","20.8","27.1","8.3","2.1",".",".",".","41.7",".",".",".",".",".",".",".","."
"","129
001","30","3.948","90.0","3.3","3.3",".",".",".",".","3.3",".",".",".",".",".",".",".","."
"","129
002","32","3.867","84.4","6.3",".",".",".","3.1",".","6.3",".",".",".",".",".",".",".","."
"Intro to Yoga Practice","Course Total","62","3.907","87.1","4.8","1.6",".",".","1.6",".","4.8",".",".",".",".",".",".",".","."
"","130
001","24","3.614","45.8","25.0","16.7","4.2",".",".",".","8.3",".",".",".",".",".",".",".","."
"","130
002","26","3.318","46.2","23.1",".",".",".","15.4",".","11.5","3.8",".",".",".",".",".",".","."
"Running (Aerobic Fitness)","Course Total","50","3.466","46.0","24.0","8.0","2.0",".","8.0",".","10.0","2.0",".",".",".",".",".",".","."
"","131
001","23","3.844","52.2","13.0","4.3",".",".",".",".","26.1",".",".",".",".",".","4.3",".","."
"","131
002","20","3.781","55.0","15.0","10.0",".",".",".",".","20.0",".",".",".",".",".",".",".","."
"","131
003","16","3.818","50.0","12.5","6.3",".",".",".",".","25.0","6.3",".",".",".",".",".",".","."
"Cross Traing-Basic Fitness","Course Total","59","3.814","52.5","13.6","6.8",".",".",".",".","23.7","1.7",".",".",".",".","1.7",".","."
"","132
001","16","3.625","18.8","25.0","6.3",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"","132
002","27","3.205","22.2","18.5","33.3",".","3.7",".","3.7","18.5",".",".",".",".",".",".",".","."
"","132
004","22","3.706","54.5","9.1","9.1",".","4.5",".",".","22.7",".",".",".",".",".",".",".","."
"","132
005","24","3.659","58.3","29.2",".",".",".",".","4.2","4.2","4.2",".",".",".",".",".",".","."
"","132
006","25","3.477","64.0","4.0","12.0",".",".",".","8.0","12.0",".",".",".",".",".",".",".","."
"","132
007","26","3.478","38.5","30.8","15.4",".",".",".","3.8","11.5",".",".",".",".",".",".",".","."
"","008
132","16","3.500","37.5","6.3","6.3",".",".","6.3",".","43.8",".",".",".",".",".",".",".","."
"","132
009","22","3.789","63.6","18.2",".",".","4.5",".",".","13.6",".",".",".",".",".",".",".","."
"Weight Training","Course Total","178","3.542","45.5","18.0","11.2",".","1.7","0.6","2.8","19.7","0.6",".",".",".",".",".",".","."
"","133
001","20","3.464","20.0","35.0","10.0",".","5.0",".",".","30.0",".",".",".",".",".",".",".","."
"","133
002","15","3.786","53.3","40.0",".",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"","133
003","22","3.176","4.5","36.4","22.7","9.1","4.5",".",".","22.7",".",".",".",".",".",".",".","."
"","133
004","23","3.867","47.8","17.4",".",".",".",".",".","34.8",".",".",".",".",".",".",".","."
"","133
005","24","3.625","45.8","16.7",".",".",".",".","4.2","33.3",".",".",".",".",".",".",".","."
"Rhythmic/Step Aerobics","Course Total","104","3.572","33.7","27.9","6.7","1.9","1.9",".","1.0","26.9",".",".",".",".",".",".",".","."
"","134
001","21","3.300","23.8","23.8","19.0",".",".",".","4.8","28.6",".",".",".",".",".",".",".","."
"","134
002","25","3.750","64.0","4.0","4.0","4.0","4.0",".",".","20.0",".",".",".",".",".",".",".","."
"","134
003","21","3.654","33.3","14.3","14.3",".",".",".",".","38.1",".",".",".",".",".",".",".","."
"","134
005","24","3.674","58.3","29.2",".",".","8.3",".",".",".",".",".",".",".",".",".","4.2","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 94 of 399"
