"Local Culture-Upper Midwest","540
001","49","3.489","40.8","30.6","14.3","4.1","2.0",".","2.0","6.1",".","",".",".","",".","",".","",".",".","."
"Local Culture-Upper Midwest","541
001","37","3.403","37.8","29.7","18.9","5.4","2.7",".","2.7","2.7",".","",".",".","",".","",".","",".",".","."
"Seminar-American Folklore","630
001","10","4.000","100.0",".",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"Independ Stdy-Folklore Grad","699
011","4","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"FOLKLORE
380","Dept. Total","422","3.311","36.0","27.3","16.8","7.8","4.3","2.4","2.1","2.8","",".",".","",".","",".","",".","0.5",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"380
FOLKLORE","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","60","2.989","21.7","23.3","21.7","15.0","11.7","3.3","3.3",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","60","2.885","21.7","26.7","18.3","16.7","1.7","8.3","6.7",".","",".",".","",".","",".","",".",".",".","."
"Junior","","71","3.239","36.6","26.8","16.9","5.6","9.9","1.4","2.8",".","",".",".","",".","",".","",".",".",".","."
"Senior","","212","3.532","40.6","31.1","16.5","4.7","1.4","0.5","0.5","4.2","",".",".","",".","",".","",".","0.5",".","."
"Undergraduates","","403","3.293","34.2","28.5","17.6","8.2","4.5","2.2","2.2","2.2","",".",".","",".","",".","",".","0.2",".","."
"Special","","6","2.500","16.7",".",".",".",".","16.7",".","50.0","",".",".","",".","",".","",".","16.7",".","."
"Graduate","","13","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","422","3.311","36.0","27.3","16.8","7.8","4.3","2.4","2.1","2.8","",".",".","",".","",".","",".","0.5",".","."
