"INFORMATION SYSTEMS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"234
INFO SYS","","","","","","","","","","","","","","","","","","","",""
"","365
001","","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","365
003","","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","","19","3.842","68.4","31.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","371
003","","22","3.477","36.4","27.3","31.8","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","371
004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Tech:Computer-Based Bus Sys","Course Total","","26","3.481","34.6","30.8","30.8","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"Computer-Based Data Mgt","422
001","","13","3.385","15.4","53.8","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Anal&Dsgn:Comptr-Based Sys","424
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Computer-Based Data Mgt","722
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Anal&Dsgn:Comptr-Based Sys","724
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","765
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","765
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","765
003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
