"BOTANY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"208
BOTANY","","","","","","","","","","","","","","","","","","","",""
"Plants, Parasites, & People","123","001","47","2.915","8.5","27.7","36.2","10.6","10.6","4.3","2.1",".",".",".",".",".",".",".",".","."
"General Botany","130","001","185","2.927","26.5","7.0","34.1","5.4","21.6","1.6","3.2",".",".",".",".",".",".","0.5",".","."
"","151","001","18","3.167","16.7","11.1","66.7",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","151","002","9","2.778","11.1","22.2","22.2",".","44.4",".",".",".",".",".",".",".",".",".",".","."
"","151","003","11","2.500",".","18.2","45.5","9.1","9.1","9.1","9.1",".",".",".",".",".",".",".",".","."
"Introductory Biology","","Course Total","38","2.882","10.5","15.8","50.0","2.6","15.8","2.6","2.6",".",".",".",".",".",".",".",".","."
"Introductory Biology","152","001","18","3.278","22.2","27.8","38.9","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"Heredity","160","001","9","2.833","22.2","33.3","22.2",".",".","11.1","11.1",".",".",".",".",".",".",".",".","."
"Plants and Man","240","001","80","3.100","25.0","11.3","41.3","8.8","11.3","2.5",".",".",".",".",".",".",".",".",".","."
"Introductory Ecology","260","001","86","2.919","22.1","16.3","22.1","16.3","17.4","4.7","1.2",".",".",".",".",".",".",".",".","."
"Plant Anatomy","300","001","33","3.167","30.3","15.2","33.3",".","21.2",".",".",".",".",".",".",".",".",".",".","."
"Algae","330","001","11","3.700","72.7",".","9.1",".","9.1",".",".",".",".",".",".",".",".","9.1",".","."
"Plant Systematics","400","001","52","3.490","51.9","7.7","19.2","5.8","7.7",".",".","7.7",".",".",".",".",".",".",".","."
"Dendrology","402","001","13","3.083","15.4","38.5","15.4","7.7","7.7","7.7",".","7.7",".",".",".",".",".",".",".","."
"Field Collectns&Identifictn","403","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"The Vegetation of Wisconsin","455","001","31","3.328","38.7","9.7","35.5","6.5",".",".","3.2","6.5",".",".",".",".",".",".",".","."
"General Ecology","460","001","26","3.154","30.8","3.8","46.2","3.8","15.4",".",".",".",".",".",".",".",".",".",".","."
"General Genetics","466","001","8","2.875","25.0",".","50.0",".","12.5","12.5",".",".",".",".",".",".",".",".",".","."
"","575","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","575","002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","","Course Total","6","4.000","83.3",".",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Plant Biochemistry","621","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Adaptive Restoration Lab","670","002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","031","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","5","***","","","","","","","","","","","","","","","",""
"","699","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","012","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","015","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","020","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","031","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","042","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","13","3.926","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Plant Systematics&Evolutn","940","001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Plant Ecology","950","001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Plant Physiology","960","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research-Phycology","990","028","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research-Mycology","993","010","1","***","","","","","","","","","",".",".",".",".",".",".","."
