"EDU","","","","","","","","","","","","","","","","","","","",""
"CURRICULUM AND INSTRUCTIO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","","",""
"","368
001","","27","3.889","92.6",".","3.7",".","3.7",".",".",".",".",".",".",".",".",".",".","."
"","368
002","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","368
003","","22","3.977","95.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Teaching of Reading","Course Total","","72","3.951","95.8","1.4","1.4",".","1.4",".",".",".",".",".",".",".",".",".",".","."
"","369
001","","27","3.833","85.2","7.4",".","3.7","3.7",".",".",".",".",".",".",".",".",".",".","."
"","369
002","","23","3.935","87.0","13.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","369
003","","22","3.977","95.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Teaching of Language Arts","Course Total","","72","3.910","88.9","8.3",".","1.4","1.4",".",".",".",".",".",".",".",".",".",".","."
"","370
001","","22","3.886","77.3","22.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
002","","19","3.895","94.7",".",".",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","370
003","","26","3.750","73.1","11.5","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","370
004","","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching Mathematics","Course Total","","82","3.860","82.9","11.0","2.4","2.4","1.2",".",".",".",".",".",".",".",".",".",".","."
"","371
001","","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","371
002","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","371
003","","20","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching Social Studies","Course Total","","69","3.993","98.6","1.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","372
001","","26","3.750","53.8","42.3","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","372
002","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","372
003","","20","3.925","90.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching Science","Course Total","","69","3.884","79.7","17.4","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","373
001","","20","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","373
002","","18","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","373
003","","20","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","373
004","","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Elem Teaching Practicum III","Course Total","","66","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Pract: Rdg & Math-Elem Schl","374
001","","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","375
001","","15","3.960","93.3",".","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
375","","16","3.787","62.5","31.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Proseminar","Course Total","","32","3.849","78.1","15.6","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching of Physical Educ","378
001","","9","3.389","44.4","33.3",".",".","22.2",".",".",".",".",".",".",".",".",".",".","."
"School Services-Com Dis","392
001","","27","3.852","70.4","29.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teach Secondry Schl Math II","394
001","","16","3.844","75.0","18.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technol-Secondary Schl Math","395
001","","12","3.833","83.3","8.3",".","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","399
012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
077","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"","422
001","","37","3.905","91.9","2.7","2.7",".","2.7",".",".",".",".",".",".",".",".",".",".","."
"","422
002","","35","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Teaching of Children's Lit","Course Total","","72","3.951","95.8","1.4","1.4",".","1.4",".",".",".",".",".",".",".",".",".",".","."
"","425
001","","24","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","","Page 82 of 399"
