"REHAB PSYCH & SPECIAL EDUC Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"194
RP & SE","","","","","","","","","","","","","","","","","","","",""
"300","001","","89","3.466","31.5","42.7","19.1","5.6",".",".","1.1",".",".",".",".",".",".",".",".","."
"300","002","","92","3.712","55.4","34.8","7.6","1.1","1.1",".",".",".",".",".",".",".",".",".",".","."
"Individls with Disabilities","Course Total","","181","3.591","43.6","38.7","13.3","3.3","0.6",".","0.6",".",".",".",".",".",".",".",".","."
"330
Behav Anal:Person-Disabilty","001","","23","3.674","47.8","39.1","13.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"469
Acad Instr:Learn & Behav Disab","001","","23","3.717","82.6","8.7",".","4.3",".",".","4.3",".",".",".",".",".",".",".",".","."
"470
Indiv/Learn & Behav Disability","001","","26","3.827","73.1","23.1",".","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"471","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"471","002","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"471","003","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Meth&Curric:Lrn&Bhv Disabl,K-9","Course Total","","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"472","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"472","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"472","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Mth&Curric:Lrn&Bhv Dis, 6-12","Course Total","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"473
Mgmt: Stdts/Lrn&Bhv Disability","001","","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"475","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"475","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"475","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Pract: Stdts/Lrn&Bhv Dis, K-9","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"476
Pract:Stdts/Lrn&Bhv Dis, 6-12","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"477","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"477","002","","6","3.922","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"477","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Teach: Lrn&Bhv Dis, K-9","Course Total","","16","3.972","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"478","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"478","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Teach:Lrn & Bhv Dis, 6-12","Course Total","","2","***","","","","","","","","","","","","","","","",""
"500
Rehab-Cnslg Psych: Foundatn","001","","37","3.297","24.3","37.8","24.3","5.4","5.4","2.7",".",".",".",".",".",".",".",".",".","."
"501
Rehab-Cnslg Psych: Applcatn","001","","15","3.800","80.0","6.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"505
Bio,Psych,&Voc Aspt-Disabil","001","","42","3.667","54.8","23.8","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"540
Assessmnt Adults-Disablties","001","","16","3.656","56.3","25.0","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"560
Rehab Psych-Psycho-Soc Asp","001","","17","3.941","88.2","11.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"630","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"630","018","","7","3.739","85.7",".",".",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"630","019","","30","3.984","96.7","3.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intrshp-Rehab or Spec Educ","Course Total","","38","3.938","94.7","2.6",".",".","2.6",".",".",".",".",".",".",".",".",".",".","."
"631
Intro-Augmentative Commun","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"660
Special Topics","012","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"690","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"690","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"690","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"690","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"690","018","","3","***","","","","","","","","","",".",".",".",".",".",".","."
