"","LANG & CULTURES OF ASIA - LA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"522
LCA LANG","","","","","","","","","","","","","","","","","","","","",""
"First Semester Filipino","305","001","","10","3.650","50.0","30.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","309","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","309","002","","19","3.842","68.4","31.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Indonesian","","Course Total","","22","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Thai","317","001","","15","3.583","40.0","26.7",".","13.3",".",".",".","6.7",".",".",".",".","6.7",".",".","6.7"
"First Semester Vietnamese","319","001","","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","321","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","321","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Arabic","","Course Total","","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Arabic","323","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Malayalam","325","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Turkish","339","001","","11","3.727","72.7",".","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Uzbek","343","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","353","001","","13","3.923","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","353","002","","14","3.923","78.6","14.3",".",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"First Semester Hindi","","Course Total","","27","3.923","85.2","7.4","3.7",".",".",".",".","3.7",".",".",".",".",".",".",".","."
"First Semester Persian","363","001","","11","3.700","45.5","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".",".","9.1"
"First Semester Telugu","367","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Modern Tibetan","369","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Urdu","371","001","","9","3.722","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Pali","373","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"1st Semester Literary Tibetan","377","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Filipino","405","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Indonesian","409","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Thai","417","001","","8","3.563","37.5","50.0",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Vietnamese","419","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Turkish","439","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Hindi","453","001","","10","3.944","80.0","10.0",".",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"Third Semester Persian","463","001","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Telugu","467","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Modern Tibetan","469","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Urdu","471","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Sanskrit","475","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Fifth Semester Asian Language","501","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Fifth Semester Indonesian","509","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fifth Semester Thai","517","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Fifth Semester Vietnamese","519","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Fifth Semester Uzbek","543","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Fifth Semester Hindi","553","001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fifth Semester Persian","563","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Fifth Semester Telugu","567","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","","Page 238 of 399",""
