"Thucydides","532
001","","13","3.923","84.6","15.4",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"","699
002","","1","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","699
021","","1","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Directed Study","Course Total","","2","***","","","","","","","","","","","","","","","","","","","",""
"GREEK
428","Dept. Total","","61","3.488","49.2","26.2","13.1","1.6","3.3","1.6","1.6","3.3","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","",""
"428
GREEK","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","7","3.000","14.3","57.1","14.3",".",".",".","14.3",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","","6","3.087","33.3","16.7","33.3",".",".","16.7",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","14","3.558","64.3","14.3","7.1",".","14.3",".",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","13","3.500","38.5","30.8","23.1","7.7",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","40","3.358","42.5","27.5","17.5","2.5","5.0","2.5","2.5",".","",".",".","",".","",".","",".",".",".","."
"Special","","","5","3.833","40.0","20.0",".",".",".",".",".","40.0","",".",".","",".","",".","",".",".",".","."
"Graduate","","","16","3.813","68.8","25.0","6.3",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","61","3.488","49.2","26.2","13.1","1.6","3.3","1.6","1.6","3.3","",".",".","",".","",".","",".",".",".","."
