"FRENCH (FRENCH AND ITALIAN) Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"400
FRENCH","","","","","","","","","","","","","","","","","","","",""
"","228
001","","20","3.824","65.0","35.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","228
002","","20","3.402","15.0","55.0","25.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","228
003","","18","3.475","22.2","50.0","27.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","228
004","","20","3.914","85.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermed Language & Culture","Course Total","","78","3.668","47.4","37.2","14.1","1.3",".",".",".",".",".",".",".",".",".",".",".","."
"","271
001","","22","3.568","50.0","40.9","4.5",".",".",".","4.5",".",".",".",".",".",".",".",".","."
"","271
002","","14","3.357","7.1","64.3","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","271
003","","23","3.739","60.9","26.1","13.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
004","","21","3.525","14.3","71.4","9.5",".",".",".",".",".",".",".",".",".",".",".","4.8","."
"Intro to Literary Analysis","Course Total","","80","3.570","36.3","48.8","11.3","1.3",".",".","1.3",".",".",".",".",".",".",".","1.3","."
"3rd Sem French-Honors","283
001","","13","3.538","38.5","38.5","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"4th Sem French-Honors","284
001","","17","3.441","29.4","41.2","23.5",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"Intermed Lang&Cultr-Honors","287
001","","16","3.906","81.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","299
034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Practical French Converstn","301
001","","42","4.000","97.6",".",".",".",".",".",".","2.4",".",".",".",".",".",".",".","."
"Avance express orale&ecrite","311
001","","21","3.143","14.3","33.3","28.6","14.3",".","4.8",".","4.8",".",".",".",".",".",".",".","."
"Intro to Business French","313
001","","17","3.856","76.5","17.6","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","321
001","","23","3.784","69.6","21.7","4.3","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","321
002","","21","3.681","57.1","23.8","19.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Middle Ages to Revol","Course Total","","44","3.733","63.6","22.7","11.4","2.3",".",".",".",".",".",".",".",".",".",".",".","."
"","322
001","","14","3.788","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","322
002","","22","3.640","54.5","31.8","4.5",".",".",".","4.5",".",".",".",".",".","4.5",".",".","."
"","322
003","","18","3.817","66.7","27.8","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro French Lit-19 & 20 C","Course Total","","54","3.739","63.0","25.9","7.4",".",".",".","1.9",".",".",".",".",".","1.9",".",".","."
"","347
001","","26","3.643","38.5","50.0","11.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
347","","24","3.414","37.5","45.8","4.2","4.2","4.2","4.2",".",".",".",".",".",".",".",".",".","."
"Civ Franc:orig au 18e siecl","Course Total","","50","3.530","38.0","48.0","8.0","2.0","2.0","2.0",".",".",".",".",".",".",".",".",".","."
"La Phonetique:Travaux Pratique","351
001","","18","3.656","33.3","50.0","5.6",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"French-Reading Knowledge","391
001","","22","3.705","63.6","22.7","9.1",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"French Lit-Classical Age","431
001","","21","3.801","66.7","23.8","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Questions de Civ Francaise","449
001","","13","3.395","15.4","46.2","23.1","7.7",".",".",".","7.7",".",".",".",".",".",".",".","."
"Topics in French Literature","461
000A","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Undergrad Smr-Fr Civ&Cultr","532
001","","15","3.679","46.7","33.3","13.3",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"Undergrad Smr-French Lit St","568
001","","14","3.819","71.4","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Crit Approach to French Lit","626
001","","11","3.818","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Le Roman Francais 1800-1850","635
001","","20","3.725","60.0","25.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Litterature-XVIIe Siecle","639
001","","17","3.844","70.6","17.6","5.9",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"","699
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"","799
004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 205 of 399",""
