"JOURN AND MASS COMMUNICA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"512
JOURN","","","","","","","","","","","","","","","","","","","",""
"Intro to Mass Communication","201
001","","431","3.217","17.6","24.8","46.2","7.0","3.7","0.2","0.2",".",".",".",".",".","0.2",".",".","."
"Mass Communication Practices","202
001","","103","3.214","14.6","26.2","48.5","8.7","1.9",".",".",".",".",".",".",".",".",".",".","."
"","335
001","","15","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","335
002","","14","3.464","50.0","28.6","7.1","7.1",".","7.1",".",".",".",".",".",".",".",".",".","."
"","335
003","","16","3.563","37.5","37.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","335
004","","12","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Reporting","Course Total","","57","3.623","45.6","42.1","8.8","1.8",".","1.8",".",".",".",".",".",".",".",".",".","."
"","345
001","","47","3.511","25.5","53.2","19.1","2.1",".",".",".",".",".",".",".",".",".",".",".","."
"","345
002","","30","3.367","23.3","33.3","36.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Principles of Strategic Com","Course Total","","77","3.455","24.7","45.5","26.0","3.9",".",".",".",".",".",".",".",".",".",".",".","."
"In-Depth Reporting","401
001","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interpatn Contemp Affairs","404
001","","8","3.563","50.0","25.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Science & Envir Journalism","415
001","","16","3.563","31.3","50.0","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Magazines&Magazine Editing","417
001","","21","3.548","33.3","47.6","14.3","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"Electronc News-Web & Broadcast","419
001","","10","3.500","20.0","60.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Develop Creatv Messages-Media","445
001","","23","3.826","65.2","34.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Strategic Communicatn Campaign","449
001","","19","3.895","84.2","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","475
007","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","475
059","","13","3.750","61.5","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","475
075","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics-Adv Concpts&Skills","Course Total","","39","3.891","87.2","10.3","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Law of Mass Communication","559
001","","114","3.053","18.4","23.7","27.2","14.9","12.3","2.6",".","0.9",".",".",".",".",".",".",".","."
"Hist of Mass Communication","560
001","","95","3.195","15.8","24.2","50.5","6.3","2.1",".","1.1",".",".",".",".",".",".",".",".","."
"Mass Media and Youth","616
001","","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mass Media and the Consumer","646
001","","107","3.590","37.4","47.7","11.2","1.9",".","0.9",".","0.9",".",".",".",".",".",".",".","."
"Communication Rsch Methods","658
001","","48","3.677","54.2","29.2","14.6","2.1",".",".",".",".",".",".",".",".",".",".",".","."
"Literary Aspects of Journ","669
001","","21","3.595","57.1","23.8","14.3",".",".","4.8",".",".",".",".",".",".",".",".",".","."
"","676
003","","9","3.556","33.3","44.4","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","676
010","","22","3.851","77.3","13.6","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Mass Communication","Course Total","","31","3.764","64.5","22.6","12.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","681
006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","682
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","691
038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697
004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","697
005","","18","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","697
007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697
036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697
038","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 233 of 399",""
