"COUNSELING PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"270
COUN PSY","","","","","","","","","","","","","","","","","","",""
"","105
001","15","3.893","80.0","6.7","6.7",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"","105
004","18","4.000","94.4",".",".",".",".",".",".",".",".",".",".",".",".","5.6",".","."
"Human Dev; Awareness Proc","Course Total","33","3.952","87.9","3.0","3.0",".",".",".",".","3.0",".",".",".",".",".","3.0",".","."
"Human Dev:Career Strategies","110
001","11","4.000","90.9",".",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"","115
001","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
002","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
003","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
007","16","3.563","62.5","12.5","12.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"","115
012","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
013","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
014","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","115
015","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
025","8","3.188","62.5",".","12.5","12.5",".",".","12.5",".",".",".",".",".",".",".",".","."
"","115
026","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","115
027","9","3.722","66.7","22.2",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","115
028","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","115
030","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
031","7","3.643","71.4",".","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","115
032","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Human Dev: Ed Effectiveness","Course Total","148","3.828","86.5","5.4","3.4","2.0","1.4",".","1.4",".",".",".",".",".",".",".",".","."
"","620
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","620
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","620
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","620
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Spec Topics-Cnslg & Guidnce","Course Total","5","***","","","","","","","","","","","","","","","",""
"Theory & Prac-Interviewing","650
001","79","3.449","34.2","35.4","20.3","6.3","3.8",".",".",".",".",".",".",".",".",".",".","."
"Career Dev Through Life Spn","665
001","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Reading","699
008","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Theories of Counseling","800
001","20","3.825","80.0","5.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Assess Tech for Counselors","801
001","16","3.786","56.3","25.0","6.3",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"Tech&Microskills-Counselors","805
001","18","3.889","83.3","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","807
001","10","4.000","90.0",".",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"","807
002","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","807
003","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Suprvsd Pract-Counseling II","Course Total","31","4.000","96.8",".",".",".",".",".",".",".",".",".",".",".","3.2",".",".","."
"Master Intrshp-Cnslg & Guid","810
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Csnlg Psych Tech-Families","825
001","28","3.964","96.4",".","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Multicultural Counseling","860
001","16","3.844","87.5","6.3",".",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","900
001","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","900
002","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Cnsl Psychology Practicum","Course Total","20","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","901
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","901
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Couns Psych Practicum","Course Total","5","***","","","","","","","","","","","","","","","",""
