"SPANISH (SPANISH AND PORTU Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"912
SPANISH","","","","","","","","","","","","","","","","","","",""
"","101
001","17","3.147","17.6","41.2","29.4",".","5.9",".","5.9",".",".",".",".",".",".",".",".","."
"","101
002","23","2.609","13.0","21.7","26.1","4.3","13.0","17.4","4.3",".",".",".",".",".",".",".",".","."
"","101
003","21","3.262","52.4","19.0","9.5","4.8","4.8",".","9.5",".",".",".",".",".",".",".",".","."
"","101
004","22","3.341","36.4","36.4","13.6","4.5","4.5",".","4.5",".",".",".",".",".",".",".",".","."
"","101
005","23","3.261","34.8","17.4","26.1","8.7","13.0",".",".",".",".",".",".",".",".",".",".","."
"","101
006","23","3.091","34.8","8.7","26.1","8.7","13.0",".","4.3","4.3",".",".",".",".",".",".",".","."
"","101
007","24","3.152","29.2","12.5","29.2","8.3","16.7",".",".","4.2",".",".",".",".",".",".",".","."
"","101
008","23","3.283","34.8","26.1","21.7","4.3","8.7","4.3",".",".",".",".",".",".",".",".",".","."
"","101
009","24","3.043","29.2","4.2","33.3","4.2","25.0",".",".","4.2",".",".",".",".",".",".",".","."
"","101
010","22","2.841","22.7","9.1","36.4","4.5","18.2","4.5","4.5",".",".",".",".",".",".",".",".","."
"","101
011","24","3.217","20.8","33.3","29.2",".","8.3","4.2",".","4.2",".",".",".",".",".",".",".","."
"","101
012","23","3.370","56.5","13.0","17.4",".","4.3","4.3","4.3",".",".",".",".",".",".",".",".","."
"","101
013","22","3.045","18.2","18.2","40.9","9.1","9.1","4.5",".",".",".",".",".",".",".",".",".","."
"","101
014","19","3.313","26.3","15.8","31.6","5.3","5.3",".",".","10.5",".",".",".",".",".","5.3",".","."
"First Year Spanish","Course Total","310","3.137","30.6","19.4","26.5","4.8","11.0","2.9","2.6","1.9",".",".",".",".",".","0.3",".","."
"","102
001","14","3.357","28.6","42.9","7.1","14.3","7.1",".",".",".",".",".",".",".",".",".",".","."
"","102
002","20","3.421","35.0","20.0","30.0","10.0",".",".",".",".","5.0",".",".",".",".",".",".","."
"","102
003","22","3.295","31.8","18.2","36.4","4.5","9.1",".",".",".",".",".",".",".",".",".",".","."
"","102
004","21","2.976","9.5","23.8","47.6","9.5","4.8",".","4.8",".",".",".",".",".",".",".",".","."
"","102
005","23","3.348","26.1","34.8","26.1","8.7","4.3",".",".",".",".",".",".",".",".",".",".","."
"","102
006","22","3.500","50.0","18.2","18.2","9.1","4.5",".",".",".",".",".",".",".",".",".",".","."
"","102
007","23","3.565","56.5","17.4","17.4",".","8.7",".",".",".",".",".",".",".",".",".",".","."
"","102
008","24","3.217","25.0","25.0","29.2","8.3","4.2","4.2",".","4.2",".",".",".",".",".",".",".","."
"","102
009","23","3.318","39.1","17.4","26.1",".","8.7","4.3",".","4.3",".",".",".",".",".",".",".","."
"","102
010","24","3.521","45.8","29.2","16.7",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","102
011","19","3.105","42.1","10.5","10.5","10.5","21.1","5.3",".",".",".",".",".",".",".",".",".","."
"","102
012","23","3.609","65.2","13.0","8.7","4.3","8.7",".",".",".",".",".",".",".",".",".",".","."
"","102
013","24","3.396","41.7","12.5","33.3","8.3","4.2",".",".",".",".",".",".",".",".",".",".","."
"","102
014","18","3.361","22.2","33.3","38.9","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","102
015","22","3.295","45.5","13.6","22.7","9.1",".","9.1",".",".",".",".",".",".",".",".",".","."
"","102
016","22","3.295","36.4","13.6","45.5",".",".",".","4.5",".",".",".",".",".",".",".",".","."
"","102
017","21","3.357","23.8","28.6","42.9","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","102
018","23","3.500","52.2","17.4","17.4","4.3","8.7",".",".",".",".",".",".",".",".",".",".","."
"","102
019","18","3.806","66.7","27.8","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
020","20","3.158","35.0","15.0","25.0","5.0","5.0","10.0",".","5.0",".",".",".",".",".",".",".","."
"First Year Spanish","Course Total","426","3.372","39.2","21.1","25.6","5.6","5.4","1.6","0.5","0.7","0.2",".",".",".",".",".",".","."
"","203
001","23","3.326","21.7","39.1","30.4",".","8.7",".",".",".",".",".",".",".",".",".",".","."
"","203
002","22","3.341","36.4","22.7","22.7","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"","203
003","22","3.190","31.8","18.2","27.3","9.1","4.5",".","4.5","4.5",".",".",".",".",".",".",".","."
"","203
004","22","3.095","13.6","22.7","50.0","4.5",".",".","4.5","4.5",".",".",".",".",".",".",".","."
"","203
005","23","2.886","17.4","13.0","26.1","8.7","30.4",".",".","4.3",".",".",".",".",".",".",".","."
"","203
006","22","3.068","13.6","13.6","54.5","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"","203
007","20","3.100","15.0","30.0","35.0",".","20.0",".",".",".",".",".",".",".",".",".",".","."
"","203
008","23","3.435","39.1","26.1","21.7","8.7","4.3",".",".",".",".",".",".",".",".",".",".","."
"","203
009","22","2.773","4.5","9.1","45.5","18.2","22.7",".",".",".",".",".",".",".",".",".",".","."
"","203
010","24","3.125","20.8","25.0","37.5","8.3","4.2",".","4.2",".",".",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","Page 301 of 399",""
