"ART HISTORY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"180
ART HIST","","","","","","","","","","","","","","","","","","","",""
"Ancient and Medieval Art","201","001","152","3.241","27.6","30.3","22.4","5.9","7.2","2.6","1.3","2.0",".",".",".",".",".","0.7",".","."
"Renaissance to Modern Art","202","001","229","3.500","48.9","24.5","14.4","7.0","0.4","2.6","0.9","1.3",".",".",".",".",".",".",".","."
"Art&Archaeology-Ancient Greece","300","001","19","3.588","47.4","21.1","15.8",".","5.3",".",".","10.5",".",".",".",".",".",".",".","."
"Chinese Art: Antiquity-10th C","307","001","58","3.080","8.6","24.1","34.5","13.8","3.4","1.7",".","12.1",".",".",".",".",".","1.7",".","."
"Romanesque&Gothic Art&Architcr","318","001","49","3.037","8.2","26.5","26.5","16.3","2.0","4.1",".","12.2",".",".",".",".",".","4.1",".","."
"Pnt&Graphc-German 1350-1530","330","001","26","3.598","57.7","26.9","7.7",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"Bosch & Holbein to Bruegel","332","002","19","3.588","57.9","10.5","10.5",".","10.5",".",".","10.5",".",".",".",".",".",".",".","."
"Italian Baroque Art","341","001","57","2.879","8.8","12.3","24.6","21.1","10.5","1.8",".","21.1",".",".",".",".",".",".",".","."
"19th C Painting in Europe","350","001","61","3.551","41.0","36.1","11.5",".","3.3",".","1.6","6.6",".",".",".",".",".",".",".","."
"Am Dec Arts & Int: 1620-1840","363","001","31","3.165","29.0","12.9","41.9",".","6.5","6.5",".","3.2",".",".",".",".",".",".",".","."
"Topics in Asian Art","411","001","36","3.294","25.0","30.6","19.4","13.9","5.6",".",".",".",".",".",".",".","2.8","2.8",".","."
"Art in Europe, 1915-1955","453","001","36","3.276","33.3","8.3","16.7","13.9","8.3",".",".","11.1",".",".",".",".",".","8.3",".","."
"Hist-Am Vernclr Archtr&Landscp","457","001","30","3.672","43.3","43.3","10.0",".",".",".",".","3.3",".",".",".",".",".",".",".","."
"Dimensions of Material Culture","464","001","23","3.370","21.7","47.8","17.4","8.7","4.3",".",".",".",".",".",".",".",".",".",".","."
"Frank Lloyd Wright","468","001","39","3.816","74.4","10.3","12.8",".",".",".",".","2.6",".",".",".",".",".",".",".","."
"Chinese Figure Painting","472","001","10","2.722","20.0",".","40.0","10.0","10.0",".","10.0","10.0",".",".",".",".",".",".",".","."
"Art & Relig Prac-Medievl Japan","478","001","17","3.441","58.8","17.6","11.8",".","5.9",".","5.9",".",".",".",".",".",".",".",".","."
"Prosem:Spec Topics-Art Hist","500","001","10","3.444","60.0",".","10.0",".","20.0",".",".",".",".",".",".",".",".","10.0",".","."
"Prosem-Ital Renaissance Art","525","001","13","3.077","7.7","23.1","46.2","23.1",".",".",".",".",".",".",".",".",".",".",".","."
"19th Cent European Art","555","001","15","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","681","009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","010","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","035","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","682","009","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","692","018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","009","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","4","***","","","","","","","","","","","","","","","",""
"Practicum in Art History","701","001","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","007","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Grad Smr-20th C Europn Art","856","001","11","3.909","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","006","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","009","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","014","2","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 160 of 399",""
