"","990
065","4","***","","","","","","","","","","","","",".",".",".","",".",".",".","."
"","990
079","3","***","","","","","","","","","","","","",".",".",".","",".",".",".","."
"Research","Course Total","11","",".",".",".",".",".","",".","",".","100.0","",".",".",".","",".",".",".",".","."
"Advanced Independent Study","999
022","1","***","","","","","","","","","","","","",".",".",".","",".",".",".","."
"S&A PHM
732","Dept. Total","320","3.701","51.3","33.8","9.7",".","0.9","",".","",".","3.4","",".",".",".","",".","0.9",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"732
S&A PHM","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","2","4.000","100.0",".",".",".",".","",".","",".",".","",".",".",".","",".",".",".",".","."
"Sophomore","","2","4.000","100.0",".",".",".",".","",".","",".",".","",".",".",".","",".",".",".",".","."
"Junior","","5","4.000","100.0",".",".",".",".","",".","",".",".","",".",".",".","",".",".",".",".","."
"Senior","","6","4.000","100.0",".",".",".",".","",".","",".",".","",".",".",".","",".",".",".",".","."
"Undergraduates","","15","4.000","100.0",".",".",".",".","",".","",".",".","",".",".",".","",".",".",".",".","."
"Graduate","","29","3.875","44.8","6.9",".",".",".","",".","",".","37.9","",".",".",".","",".","10.3",".",".","."
"Prof Yr 1","","129","3.747","62.0","27.1","10.1",".","0.8","",".","",".",".","",".",".",".","",".",".",".",".","."
"Prof Yr 2","","3","3.857","66.7","33.3",".",".",".","",".","",".",".","",".",".",".","",".",".",".",".","."
"Prof Yr 3","","137","3.565","35.0","50.4","13.1",".","1.5","",".","",".",".","",".",".",".","",".",".",".",".","."
"Prof Yr 4","","7","3.944","85.7","14.3",".",".",".","",".","",".",".","",".",".",".","",".",".",".",".","."
"Professionals","","276","3.678","49.3","38.4","11.2",".","1.1","",".","",".",".","",".",".",".","",".",".",".",".","."
"","Dept. Total","320","3.701","51.3","33.8","9.7",".","0.9","",".","",".","3.4","",".",".",".","",".","0.9",".",".","."
