"FOLKLORE PROGRAM","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"380
FOLKLORE","","","","","","","","","","","","","","","","","","",""
"Introduction to Folklore","100
001","61","3.331","16.4","55.7","16.4","1.6","3.3","1.6","1.6","3.3",".",".",".",".",".",".",".","."
"Intro-Mus Cult of the World","103
001","30","3.150","26.7","30.0","20.0","13.3","3.3","3.3","3.3",".",".",".",".",".",".",".",".","."
"The African Storyteller","210
001","101","2.768","21.8","11.9","21.8","19.8","9.9","7.9","5.0","2.0",".",".",".",".",".",".",".","."
"The Folk Tale","220
001","19","3.618","36.8","42.1","5.3","5.3",".",".",".","5.3",".",".",".",".",".","5.3",".","."
"Folklore of Wisconsin","320
001","42","3.679","59.5","11.9","16.7","4.8",".",".",".","4.8",".",".",".",".",".","2.4",".","."
"Shamanism","352
001","42","3.698","52.4","35.7","7.1",".","2.4",".",".","2.4",".",".",".",".",".",".",".","."
"Javanese Performance","353
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Dir Stdy-Folklore Undergrad","399
010","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Musical Cultures-World","401
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"African Poetry","411
001","6","2.950","16.7","16.7","33.3","16.7","16.7",".",".",".",".",".",".",".",".",".",".","."
"American Indian Women","437
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","530
001","11","3.545","36.4","36.4","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","530
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Folklore","Course Total","13","3.538","38.5","30.8","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Local Culture-Upper Midwest","540
001","49","3.489","40.8","30.6","14.3","4.1","2.0",".","2.0","6.1",".",".",".",".",".",".",".","."
"Local Culture-Upper Midwest","541
001","37","3.403","37.8","29.7","18.9","5.4","2.7",".","2.7","2.7",".",".",".",".",".",".",".","."
"Seminar-American Folklore","630
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independ Stdy-Folklore Grad","699
011","4","***","","","","","","","","","",".",".",".",".",".",".","."
"FOLKLORE
380","Dept. Total","422","3.311","36.0","27.3","16.8","7.8","4.3","2.4","2.1","2.8",".",".",".",".",".","0.5",".","."
