"ITALIAN (FRENCH AND ITALIAN) Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"508
ITALIAN","","","","","","","","","","","","","","","","","","",""
"","101
001","21","3.500","52.4","14.3","9.5","14.3","4.8",".",".","4.8",".",".",".",".",".",".",".","."
"","101
002","20","3.425","55.0","20.0","10.0","5.0",".","10.0",".",".",".",".",".",".",".",".",".","."
"","101
003","20","3.150","35.0","25.0","15.0","5.0","15.0",".","5.0",".",".",".",".",".",".",".",".","."
"","101
004","23","3.543","52.2","21.7","17.4",".","8.7",".",".",".",".",".",".",".",".",".",".","."
"","101
005","22","3.295","31.8","27.3","31.8","4.5",".",".","4.5",".",".",".",".",".",".",".",".","."
"","101
006","19","3.526","63.2","10.5","21.1",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"","101
007","22","2.929","4.5","13.6","50.0","18.2","9.1",".",".","4.5",".",".",".",".",".",".",".","."
"","101
008","25","3.174","40.0","12.0","24.0","4.0",".","8.0","4.0","8.0",".",".",".",".",".",".",".","."
"","101
009","21","3.452","38.1","19.0","38.1","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","101
010","20","3.500","45.0","40.0","10.0",".",".",".","5.0",".",".",".",".",".",".",".",".","."
"","101
011","22","3.295","31.8","13.6","45.5",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"","101
012","20","3.450","30.0","40.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","101
014","12","3.545","33.3","33.3","25.0",".",".",".",".",".",".",".",".",".",".",".","8.3","."
"","101
015","17","3.176","23.5","29.4","17.6","17.6","11.8",".",".",".",".",".",".",".",".",".",".","."
"","101
016","22","3.659","45.5","40.9","13.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Italian","Course Total","306","3.370","38.9","23.5","23.5","5.6","3.9","1.3","1.6","1.3",".",".",".",".",".",".","0.3","."
"","102
002","12","3.542","41.7","25.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
004","24","3.354","25.0","37.5","25.0","8.3","4.2",".",".",".",".",".",".",".",".",".",".","."
"","102
006","22","3.333","36.4","22.7","18.2","13.6",".","4.5",".","4.5",".",".",".",".",".",".",".","."
"","102
008","19","3.132","26.3","26.3","31.6",".","10.5",".","5.3",".",".",".",".",".",".",".",".","."
"","102
011","13","3.731","69.2","7.7","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
012","13","3.292","30.8","7.7","38.5","15.4",".",".",".","7.7",".",".",".",".",".",".",".","."
"Second Semester Italian","Course Total","103","3.371","35.9","23.3","27.2","6.8","2.9","1.0","1.0","1.9",".",".",".",".",".",".",".","."
"","201
001","19","3.972","89.5","5.3",".",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"","201
003","15","3.467","33.3","26.7","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
201","14","3.231","28.6","21.4","21.4","7.1","14.3",".",".",".",".",".",".",".",".",".","7.1","."
"Ital-Speakrs of Romanc Lang","Course Total","48","3.598","54.2","16.7","18.8","2.1","4.2",".",".","2.1",".",".",".",".",".",".","2.1","."
"","203
001","10","2.150","10.0","10.0","10.0","20.0","30.0",".","20.0",".",".",".",".",".",".",".",".","."
"","203
002","23","2.909","4.3","21.7","39.1","13.0","17.4",".",".",".","4.3",".",".",".",".",".",".","."
"","203
003","21","2.947",".","28.6","28.6","28.6","4.8",".",".","9.5",".",".",".",".",".",".",".","."
"","203
005","20","3.263","40.0","10.0","35.0",".",".","10.0",".","5.0",".",".",".",".",".",".",".","."
"","203
007","19","3.289","26.3","26.3","31.6","10.5","5.3",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Italian","Course Total","93","2.989","16.1","20.4","31.2","14.0","9.7","2.2","2.2","3.2","1.1",".",".",".",".",".",".","."
"","204
001","13","3.364","38.5","7.7","23.1","7.7","7.7",".",".","15.4",".",".",".",".",".",".",".","."
"","204
002","19","3.278","36.8","26.3","10.5","5.3","10.5","5.3",".",".","5.3",".",".",".",".",".",".","."
"Fourth Semester Italian","Course Total","32","3.310","37.5","18.8","15.6","6.3","9.4","3.1",".","6.3","3.1",".",".",".",".",".",".","."
"","311
001","19","3.417","31.6","21.1","36.8","5.3",".",".",".","5.3",".",".",".",".",".",".",".","."
"","311
002","18","3.500","50.0","11.1","27.8","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Compostn&Converstn","Course Total","37","3.458","40.5","16.2","32.4","8.1",".",".",".","2.7",".",".",".",".",".",".",".","."
"Intro to Italian Literature","001
321","14","3.490","64.3",".","14.3","7.1","14.3",".",".",".",".",".",".",".",".",".",".","."
"Structures of Italian","340
001","12","3.595","83.3",".","8.3",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"","453
001","11","4.000","90.9",".",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"","453
002","13","4.000","76.9",".",".",".",".",".",".","15.4",".",".",".",".",".",".","7.7","."
"Topics: Ital Culture,Film,Lang","Course Total","24","4.000","83.3",".",".",".",".",".",".","12.5",".",".",".",".",".",".","4.2","."
