"BUS","","","","","","","","","","","","","","","","","","",""
"MARKETING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"237
MARKETNG","","","","","","","","","","","","","","","","","","",""
"","300
001","279","3.364","21.5","41.2","29.4","4.3","3.6",".",".",".",".",".",".",".",".",".",".","."
"","300
002","165","3.229","13.9","38.8","33.3","7.9","4.2","1.2",".","0.6",".",".",".",".",".",".",".","."
"Marketing Management","Course Total","444","3.314","18.7","40.3","30.9","5.6","3.8","0.5",".","0.2",".",".",".",".",".",".",".","."
"","305
001","44","3.186","15.9","27.3","36.4","13.6","4.5",".",".","2.3",".",".",".",".",".",".",".","."
"","305
002","51","3.360","31.4","31.4","19.6","7.8","7.8",".",".","2.0",".",".",".",".",".",".",".","."
"Consumer Behavior","Course Total","95","3.280","24.2","29.5","27.4","10.5","6.3",".",".","2.1",".",".",".",".",".",".",".","."
"","310
001","53","3.472","34.0","37.7","18.9","7.5","1.9",".",".",".",".",".",".",".",".",".",".","."
"","310
002","41","3.378","19.5","48.8","22.0","7.3","2.4",".",".",".",".",".",".",".",".",".",".","."
"Marketing Research","Course Total","94","3.431","27.7","42.6","20.2","7.4","2.1",".",".",".",".",".",".",".",".",".",".","."
"","365
001","8","3.625","37.5","50.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
002","15","3.714","86.7",".",".",".",".",".","6.7","6.7",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","23","3.682","69.6","17.4","4.3",".",".",".","4.3","4.3",".",".",".",".",".",".",".","."
"Reading & Rsch-Marketing","399
138","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","415
001","42","3.688","64.3","16.7","11.9",".",".",".","2.4","4.8",".",".",".",".",".",".",".","."
"","415
002","47","3.862","74.5","23.4","2.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Communications","Course Total","89","3.782","69.7","20.2","6.7",".",".",".","1.1","2.2",".",".",".",".",".",".",".","."
"","420
001","31","3.339","22.6","48.4","19.4","6.5",".",".","3.2",".",".",".",".",".",".",".",".","."
"","420
002","28","3.407","28.6","46.4","14.3","3.6",".",".","3.6","3.6",".",".",".",".",".",".",".","."
"Global Marketing Strategy","Course Total","59","3.371","25.4","47.5","16.9","5.1",".",".","3.4","1.7",".",".",".",".",".",".",".","."
"","425
001","33","3.515","21.2","60.6","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","425
002","50","3.550","20.0","70.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Channels","Course Total","83","3.536","20.5","66.3","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Strategy","460
001","47","3.574","38.3","38.3","23.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sales Management","635
001","45","3.844","71.1","26.7","2.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
001","44","3.080","25.0","25.0","18.2","13.6","13.6","4.5",".",".",".",".",".",".",".",".",".","."
"","002
640","44","3.023","13.6","22.7","34.1","13.6","15.9",".",".",".",".",".",".",".",".",".",".","."
"Retail Management","Course Total","88","3.051","19.3","23.9","26.1","13.6","14.8","2.3",".",".",".",".",".",".",".",".",".","."
"","700
001","36","3.486","19.4","58.3","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
002","40","3.388","7.5","62.5","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
003","34","3.559","35.3","44.1","17.6","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Management","Course Total","110","3.473","20.0","55.5","23.6","0.9",".",".",".",".",".",".",".",".",".",".",".","."
"Consumer Behavior","705
001","32","3.935","84.4","12.5",".",".",".",".",".","3.1",".",".",".",".",".",".",".","."
"Marketing Research","710
001","30","3.650","46.7","36.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
001","25","3.740","56.0","36.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","765
003","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","37","3.824","70.3","24.3","5.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799
219","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799
220","24","3.981","95.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reading & Rsch-Marketing","Course Total","33","3.986","97.0","3.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Marketing PhD","971
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
120","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
138","1","***","","","","","","","","","",".",".",".",".",".",".","."
