"LANGUAGES & CULTURES OF A Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"521
LCA","","","","","","","","","","","","","","","","","","","",""
"Intro to Cultures of Asia","100","001","132","3.488","43.2","31.1","12.1","5.3","2.3",".","2.3","1.5",".",".",".",".",".","2.3",".","."
"Islam Wrld:MidEast,500-1500","205","001","13","3.808","69.2","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Bascom Course","236","001","14","3.607","42.9","42.9","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244","001","6","3.417","33.3","33.3","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Civs of India-Modern Period","252","001","12","3.583","50.0","25.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Religion-Hist&Culture: East","273","001","24","3.175","12.5","25.0","29.2","12.5","4.2",".",".","12.5","4.2",".",".",".",".",".",".","."
"Topics in LCA","300","001","14","3.179","21.4","28.6","28.6","7.1","14.3",".",".",".",".",".",".",".",".",".",".","."
"Modern Indian Literatures","311","001","14","3.821","64.3","35.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Literatures of Central Asia","314","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Hinduism","355","001","37","3.389","24.3","48.6","16.2","5.4",".",".","2.7",".",".",".",".",".",".","2.7",".","."
"Islam: Religion and Culture","370","001","41","3.650","56.1","17.1","22.0","2.4",".",".",".",".",".",".",".",".",".",".","2.4","."
"Turkish Literature","413","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Modern Indian Theatre","429","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Lang&Society-Southeast Asia","441","001","16","3.214","31.3","12.5","18.8","12.5","12.5",".",".","12.5",".",".",".",".",".",".",".","."
"Hist Southeast Asia to 1800","457","001","7","3.143","14.3","28.6","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".","."
"Buddhist Thought","466","001","6","3.583","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fiction&Ethnography in Turkey","579","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Yoga: Methods and Goals","623","001","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Proseminar in Buddhist Thought","650","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Proseminar:Literatures of Asia","666","001","11","3.938","63.6","9.1",".",".",".",".",".",".",".",".",".",".","18.2","9.1",".","."
"Senior Honors Thesis","681","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","682","046","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","000A","7","3.273","42.9","42.9",".",".",".","14.3",".",".",".",".",".",".",".",".",".","."
"","699","046","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","048","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","9","3.286","44.4","33.3","11.1",".",".","11.1",".",".",".",".",".",".",".",".",".","."
"Smr:Religion&Society-S Asia","717","001","13","3.692","46.2","46.2","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","031","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","046","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Independent Study","","Course Total","11","4.000","9.1",".",".",".",".",".",".","90.9",".",".",".",".",".",".",".","."
"","990","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","024","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","027","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","031","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","033","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","042","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","044","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","046","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","17","",".",".",".",".",".",".",".","88.2",".",".",".","11.8",".",".",".","."
"Individual Research","999","003","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
