"EDU","","","","","","","","","","","","","","","","","","","","",""
"","ART EDUCATION (DEPT OF ART) Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"176
ART ED","","","","","","","","","","","","","","","","","","","","",""
"Art in Elementary Education","323","001","","14","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Art in Secondary Education","324","002","","14","3.821","78.6","7.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Elem School Art","470","001","","14","3.929","92.9",".","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum-Secondary School Art","493","001","","14","3.893","85.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Reading & Rsch","699","061","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemp Practices in Art Ed","900","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar in Art Education","951","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Independent Reading","","Course Total","","2","***","","","","","","","","","","","","","","","",""
