"","999
075","1","***","","","","","","","","","","",".",".",".",".",".",".","."
"","999
092","3","***","","","","","","","","","","",".",".",".",".",".",".","."
"","999
095","2","***","","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","22","4.000","68.2",".",".",".",".","",".",".","13.6",".",".",".","9.1","9.1",".",".","."
"CURRIC
272","Dept. Total","2536","3.913","66.4","6.2","1.5","0.2","0.3","",".","0.2","2.5","0.0","20.5","0.0","1.5","0.5",".","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","3","3.250","33.3",".","66.7",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Sophomore","","36","3.875","80.6","16.7","2.8",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Junior","","379","3.866","63.3","8.7","4.5","0.5","0.3","",".",".",".",".","22.7",".",".",".",".",".","."
"Senior","","1434","3.904","62.7","6.2","1.0","0.3","0.4","",".","0.3","0.1",".","28.8","0.1",".",".",".","0.1","."
"Undergraduates","","1852","3.894","63.1","6.9","1.8","0.3","0.4","",".","0.3","0.1",".","26.9","0.1",".",".",".","0.1","."
"Special","","170","3.935","81.2","4.7","1.8",".",".","",".",".",".",".","11.2",".",".","0.6",".","0.6","."
"Graduate","","514","3.971","73.3","4.3",".",".",".","",".",".","12.1","0.2","0.4",".","7.4","2.1",".","0.2","."
"","Dept. Total","2536","3.913","66.4","6.2","1.5","0.2","0.3","",".","0.2","2.5","0.0","20.5","0.0","1.5","0.5",".","0.1","."
