"","991
008","5","***","","","","","","","","","","",".",".",".",".",".",".","."
"","991
012","4","***","","","","","","","","","","",".",".",".",".",".",".","."
"","991
017","2","***","","","","","","","","","","",".",".",".",".",".",".","."
"Indiv Research-Slavic Lit","Course Total","12","",".",".",".",".",".",".",".","91.7","",".",".",".",".",".",".","8.3","."
"SLAVIC
888","Dept. Total","357","3.617","63.6","13.2","9.8","2.8","3.1","0.6","0.8","4.8","",".",".",".","0.6","0.6",".","0.3","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"888
SLAVIC","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","51","3.242","45.1","9.8","23.5","9.8","5.9","3.9","2.0",".","",".",".",".",".",".",".",".","."
"Sophomore","","58","3.694","72.4","12.1","13.8",".",".",".","1.7",".","",".",".",".",".",".",".",".","."
"Junior","","68","3.564","58.8","22.1","8.8","7.4","1.5",".","1.5",".","",".",".",".",".",".",".",".","."
"Senior","","92","3.663","64.1","17.4","7.6",".","6.5",".",".","2.2","",".",".",".",".","2.2",".",".","."
"Undergraduates","","269","3.554","61.0","16.0","12.3","3.7","3.7","0.7","1.1","0.7","",".",".",".",".","0.7",".",".","."
"Special","","10","3.579","70.0",".","20.0",".","10.0",".",".",".","",".",".",".",".",".",".",".","."
"Graduate","","78","3.959","71.8","5.1",".",".",".",".",".","19.2","",".",".",".","2.6",".",".","1.3","."
"","Dept. Total","357","3.617","63.6","13.2","9.8","2.8","3.1","0.6","0.8","4.8","",".",".",".","0.6","0.6",".","0.3","."
