"L&S","","","","","","","","","","","","","","","","","","","",""
"CHEMISTRY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","","",""
"CHEM
224","Dept. Total","5917","2.980","23.8","14.6","28.1","8.2","15.4","2.8","1.8","4.9","0.0",".","",".","0.2","0.0","0.0","0.1","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","2010","2.994","22.0","15.9","30.5","10.6","16.9","2.5","1.4",".",".",".","",".",".",".","0.0","0.0","."
"Sophomore","","1354","2.926","21.1","13.6","32.9","7.9","19.4","3.1","1.8",".",".",".","",".",".","0.1","0.1",".","."
"Junior","","1088","2.855","24.0","14.4","29.0","7.5","17.9","4.0","3.0",".",".",".","",".",".",".",".",".","."
"Senior","","744","2.951","26.7","15.7","27.2","9.9","14.0","3.5","2.6",".",".",".","",".","0.3",".",".",".","0.1"
"Undergraduates","","5196","2.947","22.9","15.0","30.4","9.2","17.3","3.1","2.0",".",".",".","",".","0.0","0.0","0.0","0.0","0.0"
"Special","","77","3.293","46.8","9.1","24.7","3.9","7.8","5.2","1.3",".",".",".","",".",".",".",".","1.3","."
"Graduate","","816","3.601","43.6","9.9","8.2","0.6","0.4",".",".","36.0","0.1",".","",".","0.9",".",".","0.2","."
"Prof Yr 1","","1","",".",".",".",".",".",".",".","100.0",".",".","",".",".",".",".",".","."
"Prof Yr 3","","3","3.625","66.7",".","33.3",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Professionals","","4","3.625","50.0",".","25.0",".",".",".",".","25.0",".",".","",".",".",".",".",".","."
"","Dept. Total","6093","2.980","26.0","14.2","27.3","7.9","14.9","2.7","1.7","4.8","0.0",".","",".","0.1","0.0","0.0","0.1","0.0"
