"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","",""
"VET","","","","","","","","","","","","","","","","","","","","",""
"VET","College Total","2235","3.275","27.9","13.9","17.5","4.7","4.0","0.4","0.0","31.3","",".",".",".","0.2","",".",".","0.0","."
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","","NW","NR","Other"
"VET","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"Freshmen","","29","3.793","72.4","13.8","13.8",".",".",".",".",".","",".",".",".",".","",".",".",".","."
"Sophomore","","14","3.921","85.7","7.1","7.1",".",".",".",".",".","",".",".",".",".","",".",".",".","."
"Junior","","22","2.941","36.4","22.7","18.2","4.5","4.5","13.6",".",".","",".",".",".",".","",".",".",".","."
"Senior","","33","3.343","42.4","15.2","30.3","9.1","3.0",".",".",".","",".",".",".",".","",".",".",".","."
"Undergraduates","","98","3.345","56.1","15.3","19.4","4.1","2.0","3.1",".",".","",".",".",".",".","",".",".",".","."
"Special","","15","4.000","20.0",".",".",".",".",".",".","73.3","",".",".",".",".","",".",".","6.7","."
"Graduate","","88","3.594","26.1","4.5","6.8",".","1.1",".",".","61.4","",".",".",".",".","",".",".",".","."
"Prof Yr 1","","430","3.226","26.7","22.6","25.3","8.8","5.6","0.7",".","10.2","",".",".",".",".","",".",".",".","."
"Prof Yr 2","","542","3.415","27.3","26.4","22.3","5.2","3.3",".","0.2","15.3","",".",".",".",".","",".",".",".","."
"Prof Yr 3","","597","2.966","12.6","8.5","22.8","6.0","7.5","0.3",".","41.4","",".",".",".","0.8","",".",".",".","."
"Prof Yr 4","","605","4.000","33.9",".",".",".",".",".",".","66.1","",".",".",".",".","",".",".",".","."
"Professionals","","2174","3.265","25.0","13.4","16.8","4.7","4.0","0.2","0.0","35.6","",".",".",".","0.2","",".",".",".","."
"","College Total","2375","3.275","26.3","13.1","16.5","4.5","3.8","0.3","0.0","35.3","",".",".",".","0.2","",".",".","0.0","."
