"EDUCATIONAL POLICY STUDIES Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"310
ED POL","","","","","","","","","","","","","","","","","","","",""
"140
Introduction to Education","001","","23","3.935","87.0","13.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"200
Race,Ethnicty&Inequal-Am Ed","001","","19","3.711","47.4","47.4","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"300","001","","26","3.635","46.2","34.6","19.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"300","002","","27","3.852","70.4","29.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"300","003","","27","3.759","51.9","48.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"300","004","","24","3.609","45.8","33.3","8.3","8.3",".",".",".",".",".",".",".",".","4.2",".",".","."
"School and Society","Course Total","","104","3.718","53.8","36.5","6.7","1.9",".",".",".",".",".",".",".",".","1.0",".",".","."
"412
History-American Education","001","","53","3.368","24.5","45.3","17.0","9.4","1.9","1.9",".",".",".",".",".",".",".",".",".","."
"460
Cultural Pluralsm&Ed Policy","001","","33","3.348","21.2","33.3","39.4","6.1",".",".",".",".",".",".",".",".",".",".",".","."
"475
Educ & Jewish Civilization","001","","8","3.625","37.5","50.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"478
Compar Hist-Chldhood&Adoles","001","","14","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"505
Issues in Urban Education","001","","26","3.580","38.5","42.3","11.5",".","3.8",".",".","3.8",".",".",".",".",".",".",".","."
"545
Philos Concepts-Tch&Learng","001","","12","3.583","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"561
Women in Higher Education","001","","19","3.579","47.4","21.1","31.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"600
Problems in Educ Pol","001","","15","3.739","46.7","53.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"648
Sociology of Education","001","","6","3.583","50.0","33.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"701
Intro to Ed Policy Studies","001","","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"713
Hist: Higher Ed-Europe&Amer","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"736
The Sociology of Teaching","001","","17","3.735","52.9","41.2","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"765
Issues in Educ Policy Analysis","001","","11","3.773","54.5","45.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"780
Special Topics in Educ Policy","001","","14","3.821","64.3","35.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"830","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"830","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Financng Elem&Secondry Educ","Course Total","","3","***","","","","","","","","","","","","","","","",""
"855
Issues-Elementary Education","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"906
Prosem-History of Education","001","","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"920
Education and Public Policy","001","","12","3.625","41.7","41.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","066","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","073","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","Course Total","","28","",".",".",".",".",".",".",".","60.7",".",".",".","32.1",".",".","7.1","."
"999","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","","Page 89 of 399"
