"INTERDIS COURSES (SOHE)","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"498
INTER-HE","","","","","","","","","","","","","","","","","","","",""
"Crit Perspectvs-Human Ecol","150
001","","24","3.104","25.0","37.5","4.2","16.7","8.3","8.3",".",".",".",".",".",".",".",".",".","."
"","299
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Community Iss & Serv Learng","350
001","","17","3.265","41.2","29.4","11.8",".","5.9","11.8",".",".",".",".",".",".",".",".",".","."
"Special Topics","375
001","","6","3.167","50.0","33.3",".",".",".",".","16.7",".",".",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","399
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Prgm Planning-Fam&Consmr Ed","428
001","","21","3.225","57.1",".","19.0","4.8","4.8",".","9.5",".",".",".",".",".","4.8",".",".","."
"Stdt Teach-Fam & Consumer Educ","430
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Principles of Adult Education","515
001","","12","3.250","33.3","50.0",".",".",".","16.7",".",".",".",".",".",".",".",".",".","."
"Org&Oper-Educ for Work Progrms","661
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"INTER-HE
498","Dept. Total","","92","3.349","42.4","27.2","8.7","5.4","4.3","6.5","3.3",".",".",".",".",".","2.2",".",".","."
