"ENGR PROFESSIONAL DEVELO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"348
E P D","","","","","","","","","","","","","","","","","","",""
"","155
001","19","3.658","47.4","36.8","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","155
002","19","3.711","52.6","36.8","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","155
003","19","3.026","36.8","21.1","15.8","5.3","10.5",".","10.5",".",".",".",".",".",".",".",".","."
"","155
005","17","3.147","11.8","29.4","35.3","23.5",".",".",".",".",".",".",".",".",".",".",".","."
"","155
006","20","3.450","40.0","20.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","155
007","16","3.188","12.5","43.8","18.8","18.8","6.3",".",".",".",".",".",".",".",".",".",".","."
"","155
008","19","3.579","26.3","63.2","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","155
009","19","3.526","21.1","68.4","5.3","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","155
010","20","3.725","60.0","25.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","155
011","16","3.031",".","31.3","50.0","12.5","6.3",".",".",".",".",".",".",".",".",".",".","."
"","155
012","18","3.611","33.3","55.6","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Basic Communication","Course Total","202","3.436","32.2","39.1","19.3","6.4","2.0",".","1.0",".",".",".",".",".",".",".",".","."
"Freshman Independent Study","199
017","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","275
001","20","3.750","60.0","35.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","275
002","14","3.821","64.3","35.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
003","18","3.778","61.1","33.3","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
004","17","3.824","82.4","5.9","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Technical Presentations","Course Total","69","3.790","66.7","27.5","2.9","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"","305
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","305
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Basic Chinese Conversatn I","Course Total","3","***","","","","","","","","","","","","","","","",""
"","330
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","330
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Basic Technical Japanese I","Course Total","9","3.583","44.4","11.1",".",".","11.1",".",".",".",".",".",".",".","33.3",".",".","."
"","374
001","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","374
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","374
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermed Tech Japanese I","Course Total","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Elems: Comp-Assist Publishg","395
001","13","3.346","46.2","38.5",".",".","7.7",".","7.7",".",".",".",".",".",".",".",".","."
"","397
001","18","3.417","38.9","22.2","27.8","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"","397
002","17","3.147","23.5","35.3","23.5","5.9","5.9",".","5.9",".",".",".",".",".",".",".",".","."
"","003
397","19","3.605","47.4","36.8","5.3","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"","397
004","22","3.409","22.7","45.5","27.3",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"","397
005","22","3.386","45.5","13.6","18.2","18.2","4.5",".",".",".",".",".",".",".",".",".",".","."
"","397
006","19","3.474","31.6","42.1","21.1",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","397
007","20","3.375","40.0","20.0","30.0","5.0",".","5.0",".",".",".",".",".",".",".",".",".","."
"","397
008","20","3.650","65.0","30.0",".",".",".",".","5.0",".",".",".",".",".",".",".",".","."
"","397
009","19","3.368","26.3","52.6","15.8",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"","397
010","21","3.725","57.1","23.8","14.3",".",".",".",".",".",".",".",".",".",".","4.8",".","."
"","397
011","17","3.500","35.3","41.2","17.6",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"","397
012","19","3.289","10.5","63.2","10.5","5.3","10.5",".",".",".",".",".",".",".",".",".",".","."
"Technical Communication","Course Total","233","3.448","37.3","35.2","17.6","4.3","3.4","0.4","1.3",".",".",".",".",".",".","0.4",".","."
"Tech Communications Intrshp","398
001","17","4.000","94.1",".",".",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"Junior Independent Study","399
019","1","***","","","","","","","","","",".",".",".",".",".",".","."
