"LIFE SCIENCES COMMUNICATIO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"120
L SC COM","","","","","","","","","","","","","","","","","","","",""
"615
Intro to Digital Video Prod","001","","18","3.639","50.0","33.3","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"616
Mass Media and Youth","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"681
Senior Honors Thesis","33","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","033","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","8","3.684","87.5",".",".",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"720
Intro-Communication Thry&Rsch","002","","18","3.794","61.1","27.8","5.6",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"806
Concep&Design-Mass Com Rsch","001","","12","3.794","66.7","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"840
Strategic Mass Communicatn","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"861
Envir Info & Educ Programs","001","","14","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"875
Special Topics","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"880","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"880","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Mass Communication","Course Total","","2","***","","","","","","","","","","","","","","","",""
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","034","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","16","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"999
Independent Research","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"L SC COM
120","Dept. Total","","465","3.603","57.2","22.4","10.8","2.6","0.9","1.3","1.3","3.4",".",".",".",".","0.2",".",".","."
