"EDUCATIONAL PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"315
ED PSYCH","","","","","","","","","","","","","","","","","","",""
"","301
001","175","3.040","13.1","26.9","25.7","24.6","7.4","0.6","0.6","0.6",".",".",".",".","0.6",".",".","."
"","301
002","73","3.699","72.6","13.7","9.6",".","1.4",".","2.7",".",".",".",".",".",".",".",".","."
"Human Abilities & Learning","Course Total","248","3.236","30.6","23.0","21.0","17.3","5.6","0.4","1.2","0.4",".",".",".",".","0.4",".",".","."
"","320
001","158","3.048","12.7","29.7","30.4","15.2","8.2","2.5","0.6","0.6",".",".",".",".",".",".",".","."
"","320
002","161","3.581","44.7","33.5","16.8","3.1","1.9",".",".",".",".",".",".",".",".",".",".","."
"Human Dev-Infancy&Childhood","Course Total","319","3.318","28.8","31.7","23.5","9.1","5.0","1.3","0.3","0.3",".",".",".",".",".",".",".","."
"Human Develop-Adolescence","321
001","111","3.400","45.0","18.9","22.5","4.5","4.5","2.7","0.9","0.9",".",".",".",".",".",".",".","."
"Hum Devel Chldhood-Adolescn","331
001","58","3.259","10.3","48.3","27.6","10.3","3.4",".",".",".",".",".",".",".",".",".",".","."
"","521
002","27","3.778","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","521
003","28","3.893","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adolscnt Develp-Educ Contxt","Course Total","55","3.836","67.3","32.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Prof School Psych","540
001","9","4.000","88.9",".",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Appl Behav Anal in Classrms","541
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Found of Ed Measurement","570
001","19","3.895","89.5",".","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
017","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
019","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
026","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
057","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
063","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
064","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
065","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Ind Reading-Undergrad","Course Total","12","3.820","75.0","8.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Research in Ed Psych I","709
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
001","17","3.857","58.8","23.5",".",".",".",".",".","5.9",".",".",".",".","11.8",".",".","."
"","711
002","33","3.871","69.7","24.2",".",".",".",".",".",".",".",".",".",".","6.1",".",".","."
"","711
005","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
006","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","711
007","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
008","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","711
009","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
010","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Current Topics-Ed Psych","Course Total","93","3.910","79.6","14.0","1.1",".",".",".",".","1.1",".",".",".",".","4.3",".",".","."
"Theory & Issues-Human Dev","725
001","8","3.786","62.5","12.5","12.5",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"","760
001","46","3.841","73.9","13.0","8.7",".",".",".",".",".",".",".",".",".",".","4.3",".","."
"","760
002","22","3.909","86.4","9.1","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stat Meth Appl to Educ I","Course Total","68","3.864","77.9","11.8","7.4",".",".",".",".",".",".",".",".",".",".","2.9",".","."
"Intro: Dsgn-Ed Experiments","762
001","27","3.796","70.4","18.5","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tools for Thought","792
001","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"Intro to Learning Sciences I","795
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","840
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","840
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clinical Pract-School Psych","Course Total","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
