"","999
027","2","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
028","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
029","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"Independent Reading","Course Total","10","4.000","100.0",".",".",".",".","",".",".",".",".",".","",".",".",".",".",".","."
"COUN PSY
270","Dept. Total","533","3.807","69.2","9.8","5.3","1.5","1.1","",".","0.4","4.9","0.2","4.5","",".","1.1","1.1","0.2","0.6","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"270
COUN PSY","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","54","3.833","87.0","7.4","1.9",".","1.9","",".","1.9",".",".",".","",".",".",".",".",".","."
"Sophomore","","63","3.927","92.1",".","4.8","1.6",".","",".",".",".",".",".","",".",".",".","1.6",".","."
"Junior","","71","3.484","59.2","21.1","11.3","2.8","4.2","",".","1.4",".",".",".","",".",".",".",".",".","."
"Senior","","94","3.643","61.7","20.2","9.6","5.3","1.1","",".",".","2.1",".",".","",".",".",".",".",".","."
"Undergraduates","","282","3.661","72.7","13.5","7.4","2.8","1.8","",".","0.7","0.7",".",".","",".",".",".","0.4",".","."
"Special","","13","3.914","92.3",".","7.7",".",".","",".",".",".",".",".","",".",".",".",".",".","."
"Graduate","","238","3.920","63.9","5.9","2.5",".","0.4","",".",".","10.1","0.4","10.1","",".","2.5","2.5",".","1.3","."
"","Dept. Total","533","3.807","69.2","9.8","5.3","1.5","1.1","",".","0.4","4.9","0.2","4.5","",".","1.1","1.1","0.2","0.6","."
