"BIOLOGICAL SYSTEMS ENGINE","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"112
BSE","","","","","","","","","","","","","","","","","","","","",""
"Surveying Fundamentals","201","001","","35","2.943","22.9","11.4","25.7","17.1","20.0","2.9",".",".",".",".",".",".",".",".",".","."
"Engr Principles-Biol Systms","249","001","","21","3.167","33.3","28.6","14.3","4.8","9.5","9.5",".",".",".",".",".",".",".",".",".","."
"","299","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Engr Prop-Food & Biol Matls","364","001","","19","2.500","10.5","5.3","21.1","21.1","31.6","10.5",".",".",".",".",".",".",".",".",".","."
"On-Site Waste Water Treatment","372","001","","10","2.722","10.0","30.0","10.0","20.0","10.0",".","10.0","10.0",".",".",".",".",".",".",".","."
"Special Topics","375","001","","14","3.923","78.6","14.3",".",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","399","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Career Management-Engineers","409","001","","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Irrigatn&Drainage Sys Dsgn","473","001","","8","2.875",".","12.5","62.5","12.5","12.5",".",".",".",".",".",".",".",".",".",".","."
"Engr Principles-Ag Machinery","475","001","","9","3.222","33.3","11.1","33.3","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"Legal Aspects-Engineering","491","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Biol Sys Engr Senior Design","509","001","","14","3.607","50.0","21.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Food & Phmaceut Separations","642","001","","16","3.209","31.3","12.5","31.3","6.3","18.8",".",".",".",".",".",".",".",".",".",".","."
"Topics-Natural Resrces Engr","671","001","","11","3.423","27.3","45.5","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Special Problems","699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","875","002","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar","900","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","009","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","014","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","018","","7","",".",".",".",".",".",".",".","42.9",".",".",".","57.1",".",".",".","."
"","990","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","","Course Total","","23","",".",".",".",".",".",".",".","52.2",".",".",".","47.8",".",".",".","."
