"Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"100","001","","18","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"100","002","","19","3.579","26.3","63.2","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"100","003","","19","3.842","73.7","21.1","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"100","004","","19","3.553","36.8","36.8","26.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"100","005","","19","3.474","42.1","31.6","10.5","10.5","5.3",".",".",".",".",".",".",".",".",".",".","."
"100","006","","18","3.472","27.8","44.4","22.2","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"100","007","","19","2.921","26.3","21.1","21.1","15.8","5.3",".","10.5",".",".",".",".",".",".",".",".","."
"100","008","","19","3.711","68.4","15.8","10.5",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"100","009","","19","3.579","36.8","47.4","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"100","010","","19","3.421","26.3","31.6","42.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"100","011","","19","3.868","73.7","26.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"100","012","","18","3.306","11.1","44.4","38.9","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"100","013","","19","3.579","52.6","26.3","10.5","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"100","014","","19","3.605","42.1","36.8","21.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"100","015","","16","3.469","37.5","56.3",".",".",".",".","6.3",".",".",".",".",".",".",".",".","."
"100","016","","19","3.447","47.4","26.3","21.1",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"100","017","","19","3.447","15.8","63.2","15.8","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"100","018","","18","3.694","66.7","16.7","11.1",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"100","019","","19","3.816","68.4","26.3","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"100","020","","17","3.471","23.5","52.9","17.6","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"100","021","","19","3.763","57.9","36.8","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"100","022","","19","3.868","73.7","26.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"100","023","","18","3.278","22.2","44.4","27.8",".",".",".","5.6",".",".",".",".",".",".",".",".","."
"100","024","","19","3.342","36.8","21.1","31.6","5.3",".","5.3",".",".",".",".",".",".",".",".",".","."
"100","025","","17","3.706","47.1","47.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"100","026","","19","3.605","47.4","36.8","10.5",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"100","027","","19","3.342","10.5","52.6","31.6","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"100","028","","19","3.632","36.8","52.6","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"100","029","","18","3.861","72.2","27.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"100","030","","19","3.526","47.4","21.1","21.1","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"100","031","","16","3.563","37.5","37.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"100","032","","19","3.553","42.1","36.8","15.8",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"100","033","","18","3.639","61.1","16.7","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"100","034","","18","3.306","27.8","22.2","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"100","035","","16","3.719","62.5","18.8","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"100","036","","19","3.289","21.1","36.8","26.3","10.5","5.3",".",".",".",".",".",".",".",".",".",".","."
"100","037","","19","3.526","36.8","36.8","21.1","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"100","038","","19","3.737","68.4","21.1","5.3",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"100","039","","18","3.583","38.9","38.9","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"100","040","","18","3.806","61.1","38.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"100","041","","19","3.842","94.7",".",".",".",".","5.3",".",".",".",".",".",".",".",".",".","."
"100","042","","19","3.684","47.4","42.1","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"100","043","","15","3.433","26.7","40.0","26.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"100","044","","19","3.553","47.4","26.3","21.1",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"100","045","","18","3.750","72.2","16.7",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"100","046","","20","3.525","55.0","25.0","15.0",".",".",".","5.0",".",".",".",".",".",".",".",".","."
"","","","","","","","","","","","","","","","","","","","Page 196 of 399",""
