"BUS","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACTUARIAL SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"242
ACT SCI","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","300
003","15","4.000","100.0",".",".",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"","300
004","12","3.833","66.7","33.3",".",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"Actuarial Science Methods","Course Total","27","3.926","85.2","14.8",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Theory-Interst & Life Insur","303
001","23","3.283","39.1","13.0","17.4","26.1","4.3",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"","650
001","45","3.422","26.7","37.8","31.1","2.2","2.2",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"","650
002","14","3.643","57.1","21.4","14.3","7.1",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"Actuarial Mathematics 1","Course Total","59","3.475","33.9","33.9","27.1","3.4","1.7","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Risk Theory and Credibility","652
001","51","3.363","31.4","21.6","39.2","3.9","3.9",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"ACT SCI
242","Dept. Total","160","3.432","42.5","23.8","25.0","6.3","2.5","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"242
ACT SCI","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","9","3.885","88.9","11.1",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","43","3.490","48.8","23.3","20.9","7.0",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","61","3.225","21.3","26.2","42.6","6.6","3.3","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","113","3.351","37.2","23.9","31.0","6.2","1.8","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","47","3.596","55.3","23.4","10.6","6.4","4.3","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","160","3.432","42.5","23.8","25.0","6.3","2.5","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
