"ZOOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"970
ZOOLOGY","","","","","","","","","","","","","","","","","","","",""
"400","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"400","002","","9","3.722","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"400","003","","10","3.500","40.0","30.0","10.0",".","10.0",".",".",".",".",".",".",".",".","10.0",".","."
"Topics in Biology","Course Total","","20","3.567","45.0","35.0","10.0",".","5.0",".",".",".",".",".",".",".",".","5.0",".","."
"425
Evolution of Behavior","001","","74","2.689","14.9","14.9","20.3","20.3","18.9","8.1","2.7",".",".",".",".",".",".",".",".","."
"430
Compar Anatomy-Vertebrates","001","","96","3.167","38.5","14.6","17.7","10.4","14.6","3.1","1.0",".",".",".",".",".",".",".",".","."
"460
General Ecology","001","","55","2.954","23.6","9.1","30.9","10.9","20.0","3.6",".","1.8",".",".",".",".",".",".",".","."
"466
General Genetics","001","","36","2.667","16.7","2.8","36.1","8.3","25.0","11.1",".",".",".",".",".",".",".",".",".","."
"523
Neurobiology","001","","98","3.464","40.8","29.6","19.4","2.0","3.1","3.1",".","2.0",".",".",".",".",".",".",".","."
"555
Lab-Developmental Biology","001","","12","3.708","58.3","25.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"570
Cell Biology","001","","175","2.891","27.4","5.1","31.4","2.9","27.4","3.4","1.7","0.6",".",".",".",".",".",".",".","."
"630
Cellulr Signal Transductn Mech","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"635
Neurobiology of Disease","001","","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"679
Thesis Progress Seminar","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"681","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","066","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","5","***","","","","","","","","","","","","","","","",""
"682
Senior Honors Thesis","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"691","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","066","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"691","068","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"692
Senior Thesis","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"698","048","","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"698","059","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Directed Study","Course Total","","18","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"699","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","027","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","033","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 318 of 399",""
