"FRENCH (FRENCH AND ITALIAN) Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"400
FRENCH","","","","","","","","","","","","","","","","","","",""
"","101
001","20","3.722","50.0","30.0","10.0",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"","101
002","15","3.423","26.7","20.0","40.0",".",".",".",".","13.3",".",".",".",".",".",".",".","."
"","101
003","22","3.250","50.0","18.2","4.5","13.6","4.5","4.5","4.5",".",".",".",".",".",".",".",".","."
"","004
101","19","3.528","42.1","31.6","5.3","15.8",".",".",".","5.3",".",".",".",".",".",".",".","."
"","101
005","21","3.762","57.1","38.1","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
006","18","3.222","11.1","44.4","27.8","11.1","5.6",".",".",".",".",".",".",".",".",".",".","."
"","101
007","22","3.318","36.4","40.9","4.5","4.5","9.1",".","4.5",".",".",".",".",".",".",".",".","."
"","101
008","15","3.367","33.3","40.0","13.3","6.7",".","6.7",".",".",".",".",".",".",".",".",".","."
"","101
009","16","3.625","43.8","37.5","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
011","13","3.375","30.8","15.4","38.5","7.7",".",".",".",".",".",".",".",".",".",".","7.7","."
"","101
012","15","2.885","33.3","6.7","20.0","13.3",".",".","13.3","13.3",".",".",".",".",".",".",".","."
"First Semester French","Course Total","196","3.420","38.8","30.1","15.3","6.6","2.0","1.0","2.0","3.6",".",".",".",".",".",".","0.5","."
"","102
001","21","3.476","28.6","52.4","9.5","4.8","4.8",".",".",".",".",".",".",".",".",".",".","."
"","102
002","23","3.370","21.7","47.8","21.7",".","8.7",".",".",".",".",".",".",".",".",".",".","."
"","102
003","20","3.579","40.0","35.0","15.0","5.0",".",".",".","5.0",".",".",".",".",".",".",".","."
"","102
005","23","3.457","52.2","13.0","13.0","17.4","4.3",".",".",".",".",".",".",".",".",".",".","."
"","102
008","17","3.219","17.6","41.2","17.6",".","17.6",".",".","5.9",".",".",".",".",".",".",".","."
"","102
010","14","2.964","14.3","28.6","14.3","21.4","21.4",".",".",".",".",".",".",".",".",".",".","."
"Second Semester French","Course Total","118","3.371","30.5","36.4","15.3","7.6","8.5",".",".","1.7",".",".",".",".",".",".",".","."
"First Sem French Honors","181
001","13","3.654","76.9",".","7.7","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"","203
001","23","3.109","8.7","43.5","13.0","30.4","4.3",".",".",".",".",".",".",".",".",".",".","."
"","203
002","24","3.188","29.2","25.0","20.8","12.5","8.3","4.2",".",".",".",".",".",".",".",".",".","."
"","203
004","21","2.905","4.8","33.3","19.0","33.3","4.8","4.8",".",".",".",".",".",".",".",".",".","."
"","203
005","17","3.618","41.2","41.2","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","203
006","21","3.150","19.0","19.0","38.1","9.5","9.5",".",".","4.8",".",".",".",".",".",".",".","."
"","203
007","24","3.283","8.3","54.2","20.8","8.3","4.2",".",".",".",".",".",".",".",".","4.2",".","."
"","008
203","24","3.587","41.7","37.5","8.3","8.3",".",".",".","4.2",".",".",".",".",".",".",".","."
"","203
010","21","3.119",".","38.1","47.6","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","203
011","19","3.053","26.3","21.1","26.3","10.5","10.5",".","5.3",".",".",".",".",".",".",".",".","."
"","203
012","20","3.350","35.0","30.0","30.0",".",".",".","5.0",".",".",".",".",".",".",".",".","."
"Third Semester French","Course Total","214","3.232","21.0","34.6","23.8","13.1","4.2","0.9","0.9","0.9",".",".",".",".",".","0.5",".","."
"","204
001","18","3.029","11.1","11.1","50.0","16.7","5.6",".",".","5.6",".",".",".",".",".",".",".","."
"","204
002","24","3.542","41.7","29.2","25.0","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","204
004","20","3.400","30.0","30.0","35.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","204
006","23","3.413","21.7","47.8","21.7","8.7",".",".",".",".",".",".",".",".",".",".",".","."
"","204
008","19","3.395","21.1","52.6","10.5","15.8",".",".",".",".",".",".",".",".",".",".",".","."
"","204
010","22","3.227","9.1","40.9","36.4","13.6",".",".",".",".",".",".",".",".",".",".",".","."
"","204
011","17","3.059","11.8","47.1","29.4",".",".","5.9","5.9",".",".",".",".",".",".",".",".","."
"Fourth Semester French","Course Total","143","3.313","21.7","37.1","29.4","8.4","1.4","0.7","0.7","0.7",".",".",".",".",".",".",".","."
"","227
001","22","3.614","36.4","54.5","4.5","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","227
002","23","3.636","65.2","17.4","8.7",".",".",".","4.3","4.3",".",".",".",".",".",".",".","."
"","227
003","22","3.705","40.9","59.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","227
004","17","3.794","58.8","41.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","227
005","20","3.737","50.0","40.0","5.0",".",".",".",".",".",".",".",".",".",".","5.0",".","."
"Intermed Language & Culture","Course Total","104","3.691","50.0","42.3","3.8","1.0",".",".","1.0","1.0",".",".",".",".",".","1.0",".","."
