"AMERICAN INDIAN STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"140
AMER IND","","","","","","","","","","","","","","","","","","",""
"Intro to Lit of Native America","172
001","166","3.387","35.5","27.7","21.7","9.6","1.2","1.8","0.6","1.8",".",".",".",".",".",".",".","."
"Indians of North America","314
001","88","3.280","29.5","29.5","14.8","9.1","8.0","1.1","1.1","5.7",".",".",".",".",".","1.1",".","."
"Archaeol of Eastern N Amer","355
001","18","2.417",".","11.1","33.3","16.7","27.8","5.6","5.6",".",".",".",".",".",".",".",".","."
"Third Semester Ojibwe","401
001","9","3.625","33.3","44.4","11.1",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"American Indian Women","437
001","11","3.400","45.5","9.1","18.2","9.1","9.1",".",".","9.1",".",".",".",".",".",".",".","."
"","450
003","10","3.500","50.0","20.0","20.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","450
005","22","3.976","90.9","4.5",".",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"Issues in Amer Ind Studies","Course Total","32","3.823","78.1","9.4","6.3",".","3.1",".",".","3.1",".",".",".",".",".",".",".","."
"Ethnohist-Am Indian: Relig&Pol","471
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"American Indian History","490
001","49","3.361","24.5","44.9","18.4","2.0","2.0","2.0","2.0","4.1",".",".",".",".",".",".",".","."
"Indians & Spanish Borderlands","516
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Modernity in Native Amer Lit","649
001","10","3.200","30.0","20.0","10.0","40.0",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Am Ind Lit Since 1953","650
001","8","3.571","25.0","50.0","12.5",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"American Indian Affairs","658
001","8","3.857","62.5","25.0",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Directed Study","699
021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"AMER IND
140","Dept. Total","405","3.366","35.1","27.9","17.8","8.1","4.2","1.5","1.0","4.0",".",".",".",".","0.2","0.2",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"140
AMER IND","","","","","","","","","","","","","","","","","","",""
"Freshmen","","48","3.292","33.3","31.3","16.7","10.4","4.2","2.1","2.1",".",".",".",".",".",".",".",".","."
"Sophomore","","86","3.345","38.4","23.3","19.8","9.3","3.5","2.3","1.2","2.3",".",".",".",".",".",".",".","."
"Junior","","119","3.406","34.5","35.3","14.3","5.9","6.7","1.7",".","0.8",".",".",".",".","0.8",".",".","."
"Senior","","141","3.339","32.6","24.8","21.3","9.2","2.8","0.7","1.4","6.4",".",".",".",".",".","0.7",".","."
"Undergraduates","","394","3.355","34.5","28.4","18.3","8.4","4.3","1.5","1.0","3.0",".",".",".",".","0.3","0.3",".","."
"Special","","5","4.000","20.0",".",".",".",".",".",".","80.0",".",".",".",".",".",".",".","."
"Graduate","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","405","3.366","35.1","27.9","17.8","8.1","4.2","1.5","1.0","4.0",".",".",".",".","0.2","0.2",".","."
