"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"ALS","","","","","","","","","","","","","","","","","","",""
"ALS","College Total","10526","3.155","33.1","14.6","18.5","7.3","10.4","2.6","0.9","9.2","0.0","1.9","0.0","1.1","0.2","0.0","0.2","0.0"
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"ALS","","Grades","GPA","","","","","","","","","","","","","","","",""
"Freshmen","","1359","2.869","20.9","15.2","23.2","11.9","18.9","4.0","1.5",".",".","4.0","0.1",".","0.1","0.1","0.1","."
"Sophomore","","1439","3.042","30.4","17.0","18.9","11.3","13.6","3.7","1.1","0.1",".","3.8",".",".","0.1",".",".","."
"Junior","","1993","3.092","34.0","13.8","22.7","8.7","14.4","3.2","1.2","0.2",".","1.6","0.1","0.1",".","0.1","0.1","."
"Senior","","3297","3.201","37.9","17.3","20.8","7.2","9.9","2.9","1.0","0.8",".","1.5",".","0.2","0.3","0.0","0.1","0.1"
"Undergraduates","","8088","3.088","32.7","16.0","21.3","9.1","13.1","3.3","1.2","0.4",".","2.4","0.0","0.1","0.1","0.0","0.1","0.0"
"Special","","156","3.298","35.9","10.9","23.7","9.0","5.1","1.3","0.6","9.0",".","1.3",".",".","0.6","0.6","1.9","."
"Graduate","","2290","3.658","35.4","9.6","7.8","0.7","1.0",".","0.1","39.7","0.2","0.0",".","4.6","0.3","0.0","0.7","."
"Prof Yr 1","","14","3.294","21.4","28.6","28.6",".","7.1",".",".","7.1",".",".",".","7.1",".",".",".","."
"Prof Yr 2","","7","3.357","42.9",".","42.9",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Prof Yr 3","","17","3.765","41.2","11.8","5.9",".",".",".",".","35.3",".",".",".","5.9",".",".",".","."
"Prof Yr 4","","3","3.000",".",".","33.3",".",".",".",".","33.3",".",".",".","33.3",".",".",".","."
"Professionals","","41","3.412","31.7","14.6","22.0",".","2.4",".",".","22.0",".",".",".","7.3",".",".",".","."
"","College Total","10575","3.155","33.4","14.6","18.4","7.2","10.3","2.6","0.9","9.1","0.0","1.8","0.0","1.1","0.2","0.0","0.2","0.0"
