"LAW","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","","",""
"940","016","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"940","017","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"940","018","","7","1.571","28.6",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"940","020","","21","3.525","42.9","14.3","38.1",".",".",".",".","4.8",".",".",".",".",".",".",".","."
"Law & Contemporary Problems","Course Total","","206","3.357","54.4","12.1","18.0",".",".","1.0",".","4.4",".",".",".",".","0.5",".",".","."
"950","001","","11","3.500",".","9.1",".",".",".",".",".","90.9",".",".",".",".",".",".",".","."
"950","002","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Lawyering Skills Course","Course Total","","20","3.500",".","5.0",".",".",".",".",".","95.0",".",".",".",".",".",".",".","."
"954
Corporate Finance Law","001","","23","3.211","30.4","26.1","13.0",".","4.3","4.3",".","17.4",".",".",".",".",".",".",".","."
"974
Law & Economics-Seminar","001","","9","3.722","44.4","55.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"985
Probs in Consumer Law-Smr","001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"989
Environmental Law and Practice","001","","9","3.688","55.6","11.1","22.2",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"990","007","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","034","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","7","2.400","42.9",".",".",".",".",".",".","14.3",".",".",".",".","14.3",".",".","."
"990","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","045","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","051","","19","4.000","5.3",".",".",".",".",".",".","94.7",".",".",".",".",".",".",".","."
"990","052","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","073","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","074","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","082","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","083","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","085","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","086","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","092","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Research","Course Total","","75","3.492","25.3",".","2.7",".",".",".",".","64.0",".",".",".",".","1.3",".",".","."
"991","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"991","044","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"991","067","","29","3.552","24.1","65.5","6.9","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"991","083","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 327 of 399",""
