"KINESIOLOGY","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"742
KINES","","","","","","","","","","","","","","","","","","","","",""
"","116","001","","20","3.775","65.0","25.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","116","002","","23","3.705","52.2","34.8","4.3","4.3",".",".",".","4.3",".",".",".",".",".",".",".","."
"First Aid","","Course Total","","43","3.738","58.1","30.2","7.0","2.3",".",".",".","2.3",".",".",".",".",".",".",".","."
"Foundations of Physical Educ","121","001","","19","3.263","31.6","26.3","31.6","5.3",".",".","5.3",".",".",".",".",".",".",".",".","."
"Gymnastics for Teaching","126","001","","9","3.667","55.6","22.2","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300","001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300","002","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300","003","","9","3.909","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Kinesiology","","Course Total","","35","3.970","91.4","8.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Tech-Athletic Training","301","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Physiology of Exercise","314","001","","31","3.629","45.2","41.9","6.5","6.5",".",".",".",".",".",".",".",".",".",".",".","."
"Measurement-Motor Behavior","315","001","","39","3.679","46.2","43.6","10.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adapted Physical Activity","316","001","","18","3.667","38.9","55.6","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Recog&Eval-Athletc Injuries","317","001","","11","3.818","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Biomechanics","318","001","","45","3.233","31.1","24.4","24.4","8.9","8.9",".","2.2",".",".",".",".",".",".",".",".","."
"","323","001","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","323","002","","23","3.957","91.3","8.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","323","003","","21","3.976","95.2","4.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Phy Ed-Elem School Children","","Course Total","","69","3.978","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Specialized Tchg Experience","332","001","","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Elem School Phy Ed","335","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Exercise Psychology","350","001","","57","3.664","56.1","22.8","12.3","3.5","1.8",".",".","1.8",".",".",".",".",".","1.8",".","."
"Rehab/Treat Athltc Injuries","358","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Motor Learning&Performance","361","001","","38","3.513","47.4","26.3","18.4","2.6","2.6","2.6",".",".",".",".",".",".",".",".",".","."
"Assessmnt&Progrmg Adaptd PE","364","001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","027","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399","028","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","","Course Total","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elem Sch Phy Ed Stdt Tchg","478","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Secondary-Phys Ed Stdt Tchg","479","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Athletic Training","499","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Physical Activity & Health","521","001","","19","3.553","52.6","26.3","15.8",".",".","5.3",".",".",".",".",".",".",".",".",".","."
"Advanced Exercise Psychology","600","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biol Factors-Exercise Perf","614","001","","39","3.500","28.2","48.7","17.9","5.1",".",".",".",".",".",".",".",".",".",".",".","."
"","699","010","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","020","","6","4.000","83.3",".",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"","699","032","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","14","4.000","85.7",".",".",".",".",".",".","7.1",".",".",".",".","7.1",".",".","."
