"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","","S","U","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"ANATOMY","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","4","4.000","100.0",".",".",".",".","",".","",".",".",".",".","",".",".","",".",".",".","."
"Junior","3","3.714","33.3","66.7",".",".",".","",".","",".",".",".",".","",".",".","",".",".",".","."
"Senior","5","3.857","80.0",".","20.0",".",".","",".","",".",".",".",".","",".",".","",".",".",".","."
"Undergraduates","12","3.857","75.0","16.7","8.3",".",".","",".","",".",".",".",".","",".",".","",".",".",".","."
"Special","1","4.000","100.0",".",".",".",".","",".","",".",".",".",".","",".",".","",".",".",".","."
"Graduate","39","3.738","51.3","5.1","2.6",".","5.1","",".","",".","30.8","2.6",".","",".","2.6","",".",".",".","."
"Prof Yr 1","342","3.607","52.6","23.4","21.6","1.8","0.6","",".","",".",".",".",".","",".",".","",".",".",".","."
"Prof Yr 2","2","4.000","100.0",".",".",".",".","",".","",".",".",".",".","",".",".","",".",".",".","."
"Prof Yr 3","1","",".",".",".",".",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"Prof Yr 4","1","4.000","100.0",".",".",".",".","",".","",".",".",".",".","",".",".","",".",".",".","."
"Professionals","346","3.607","52.9","23.1","21.4","1.7","0.6","",".","",".","0.3",".",".","",".",".","",".",".",".","."
