"ENGR PROFESSIONAL DEVELO Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"348
E P D","","","","","","","","","","","","","","","","","","","","",""
"416
001
Engr Applicatns of Statistics","24","3.938","87.5","12.5",".",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"430
001","3","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"430
002","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"430
003","5","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"Course Total
Japanese for Bus & Industry","9","3.929","66.7","11.1",".",".",".",".",".",".","",".",".","",".","",".","22.2",".",".","."
"497
001
Technical Editing","17","4.000","100.0",".",".",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"499
044
Senior Independent Study","3","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"611
001
Engr Economics & Management","30","3.914","80.0","16.7",".",".",".",".",".",".",".","",".",".","",".","",".","3.3",".","."
"612
001
Technical Project Management","30","3.690","36.7","60.0",".",".",".",".",".",".",".","",".",".","",".","",".","3.3",".","."
"613
001
Intl Engr Strategies&Operatns","24","3.979","95.8","4.2",".",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"630
001","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"630
002","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"Course Total
Rsch-Japanese Technical Lit","2","***","","","","","","","","","","","","","","","","","","",""
"654
001
Teaching in Science & Engr","7","3.853","71.4","28.6",".",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"690
002","40","3.850","90.0","5.0","2.5",".",".",".","2.5",".",".","",".",".","",".","",".",".",".","."
"690
006","5","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"690
007","5","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"690
029","25","4.000","100.0",".",".",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"043
690","31","3.790","61.3","35.5","3.2",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"690
047","11","3.400","27.3","36.4","18.2",".","9.1",".",".",".",".","",".",".","",".","","9.1",".",".","."
"Course Total
Special Topics in E P D","117","3.780","79.5","14.5","3.4",".","0.9",".","0.9",".","",".",".","",".","",".","0.9",".",".","."
"699
033","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"699
044","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"Course Total
Independent Study","2","***","","","","","","","","","","","","","","","","","","",""
"E P D
Dept. Total
348","831","3.597","52.3","28.0","10.5","3.0","1.8","0.1","1.0","0.1","",".","1.8","",".","",".","1.0","0.4",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"348
E P D","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","176","3.438","30.7","39.2","20.5","6.8","1.7",".","1.1",".","",".",".","",".","",".",".",".",".","."
"Sophomore","47","3.614","57.4","27.7","8.5","2.1","2.1",".",".",".","",".","2.1","",".","",".",".",".",".","."
"Junior","68","3.560","61.8","20.6","8.8","2.9","2.9",".","1.5",".","",".","1.5","",".","",".",".",".",".","."
"Senior","335","3.540","52.8","26.9","11.0","3.0","2.1","0.3","1.2",".","",".","2.1","",".","",".","0.3","0.3",".","."
"Undergraduates","626","3.520","47.9","29.7","13.3","4.0","2.1","0.2","1.1",".","",".","1.4","",".","",".","0.2","0.2",".","."
"Special","17","3.304","52.9","5.9",".",".","5.9",".","5.9",".","",".","5.9","",".","",".","23.5",".",".","."
"Graduate","186","3.825","67.2","24.7","2.2",".","0.5",".",".",".","",".","2.7","",".","",".","1.6","1.1",".","."
"Prof Yr 3","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 4","1","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".",".",".",".","."
"Professionals","2","4.000","50.0",".",".",".",".",".",".","50.0","",".",".","",".","",".",".",".",".","."
"Dept. Total","831","3.597","52.3","28.0","10.5","3.0","1.8","0.1","1.0","0.1","",".","1.8","",".","",".","1.0","0.4",".","."
