"LIBRARY & INFORMATION STUD Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","",""
"","450
001","92","3.912","83.7","13.0","2.2",".",".",".",".","1.1",".",".",".",".",".",".",".","."
"","450
002","24","3.854","70.8","29.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Info Agencies & Their Envir","Course Total","116","3.900","81.0","16.4","1.7",".",".",".",".","0.9",".",".",".",".",".",".",".","."
"","551
001","37","3.716","73.0","16.2","5.4","2.7",".",".","2.7",".",".",".",".",".",".",".",".","."
"","551
002","41","3.841","73.2","22.0","4.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","551
003","23","3.652","39.1","52.2","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Organization of Information","Course Total","101","3.752","65.3","26.7","5.9","1.0",".",".","1.0",".",".",".",".",".",".",".",".","."
"Information Use and Users","561
001","33","3.652","48.5","33.3","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Information Sources","571
001","21","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","620
001","12","3.955","83.3","8.3",".",".",".",".",".",".",".",".",".",".",".","8.3",".","."
"","620
002","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fld Proj-Lib&Info Agencies","Course Total","19","3.973","89.5","5.3",".",".",".",".",".",".",".",".",".",".",".","5.3",".","."
"Topics-Library&Informatn St","640
001","23","3.795","73.9","13.0","4.3",".","4.3",".",".",".",".",".",".",".","4.3",".",".","."
"Reading Interests of Adults","642
001","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cataloging & Classification","651
001","38","3.868","76.3","21.1","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Info Services Management","654
001","22","3.886","77.3","22.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"College & Univ Libraries","722
001","28","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Modern Archives Adm","734
001","26","3.731","57.7","30.8","11.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Database Dsgn-Lib&Info Agency","751
001","24","3.833","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Info Agency Management","754
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lib Serv-Chldrn&Young Adult","772
001","17","3.735","76.5","5.9","11.8",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"","839
001","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","839
002","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Collections","Course Total","24","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Info Agency Managemt","855
001","13","3.878","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Information Architecture","861
001","36","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr: Fndations Lib&Info St","950
001","10","3.400","20.0","40.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
006","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
008","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Research and Thesis","Course Total","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","999
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
006","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
008","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
009","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
011","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Reading & Rsch","Course Total","24","3.976","95.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
