"BIOLOGY CORE CURRICULUM","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"206
BIOCORE","","","","","","","","","","","","","","","","","","","",""
"Evolution,Ecology,&Genetics","301
001","","106","3.433","53.8","4.7","27.4","3.8","7.5","1.9",".","0.9",".",".",".",".",".",".",".","."
"","302
001","","23","3.522","43.5","21.7","30.4","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","302
002","","21","3.619","52.4","19.0","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","302
003","","20","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","302
004","","10","3.700","60.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","302
005","","22","3.705","54.5","31.8","13.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Evol,Ecol,&Genetics Lab","Course Total","","96","3.651","53.1","25.0","20.8","1.0",".",".",".",".",".",".",".",".",".",".",".","."
"Organismal Biology","323
001","","100","3.250","29.0","22.0","32.0","6.0","10.0","1.0",".",".",".",".",".",".",".",".",".","."
"","324
001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","324
002","","14","3.679","64.3","21.4","7.1",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"","324
003","","12","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Organismal Biology Lab","Course Total","","37","3.797","75.7","13.5","8.1",".","2.7",".",".",".",".",".",".",".",".",".",".","."
"","699
001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"BIOCORE
206","Dept. Total","","354","3.461","50.8","15.8","23.7","3.1","5.4","0.8",".","0.3",".",".",".",".",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"206
BIOCORE","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","89","3.454","48.3","16.9","25.8","2.2","5.6","1.1",".",".",".",".",".",".",".",".",".","."
"Junior","","","173","3.499","52.6","15.0","24.3","2.9","4.6","0.6",".",".",".",".",".",".",".",".",".","."
"Senior","","","88","3.394","51.1","15.9","20.5","4.5","6.8","1.1",".",".",".",".",".",".",".",".",".","."
"Undergraduates","","","350","3.461","51.1","15.7","23.7","3.1","5.4","0.9",".",".",".",".",".",".",".",".",".","."
"Special","","","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Prof Yr 1","","","3","3.333","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professionals","","","3","3.333","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","","354","3.461","50.8","15.8","23.7","3.1","5.4","0.8",".","0.3",".",".",".",".",".",".",".","."
