"","990
028","1","***","","","","","","","","","","","","",".",".",".",".",".",".","."
"","990
038","2","***","","","","","","","","","","","","",".",".",".",".",".",".","."
"","990
050","1","***","","","","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","6","",".",".",".",".",".","",".","",".","100.0","",".",".",".",".",".",".",".","."
"B M E
207","Dept. Total","387","3.629","42.4","29.2","12.7","1.3","0.8","",".","",".","10.9","",".","0.3",".","2.3","0.3",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"207
B M E","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","25","3.571","32.0","40.0","28.0",".",".","",".","",".",".","",".",".",".",".",".",".",".","."
"Junior","","69","3.658","39.1","44.9","14.5","1.4",".","",".","",".",".","",".",".",".",".",".",".",".","."
"Senior","","156","3.584","50.6","30.1","15.4","1.3","1.3","",".","",".",".","",".","1.3",".",".",".",".",".","."
"Undergraduates","","250","3.600","45.6","35.2","16.4","1.2","0.8","",".","",".",".","",".","0.8",".",".",".",".",".","."
"Special","","5","3.000",".","40.0","40.0",".","20.0","",".","",".",".","",".",".",".",".",".",".",".","."
"Graduate","","153","3.732","32.0","14.4","3.9","1.3",".","",".","",".","26.8","",".","15.7",".","5.2","0.7",".",".","."
"Prof Yr 3","","5","3.750","20.0","20.0",".",".",".","",".","",".","20.0","",".","20.0",".","20.0",".",".",".","."
"Professionals","","5","3.750","20.0","20.0",".",".",".","",".","",".","20.0","",".","20.0",".","20.0",".",".",".","."
"","Dept. Total","413","3.629","39.7","27.4","11.9","1.2","0.7","",".","",".","10.2","",".","6.5",".","2.2","0.2",".",".","."
