"ENGR MECHANICS & ASTRONA","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"346
E M A","","","","","","","","","","","","","","","","","","","","","",""
"","890
015","1","***","","","","","","","","","","",".",".",".","",".","",".",".","."
"","890
040","1","***","","","","","","","","","","",".",".",".","",".","",".",".","."
"Pre-Dissertator Research","Course Total","10","",".",".",".",".",".",".",".","100.0","",".",".",".","",".","",".",".",".","."
"","990
005","1","***","","","","","","","","","","",".",".",".","",".","",".",".","."
"","990
011","3","***","","","","","","","","","","",".",".",".","",".","",".",".","."
"Research and Thesis","Course Total","4","***","","","","","","","","","","","","","","","","","","",""
"E M A
346","Dept. Total","713","3.021","22.3","17.0","27.3","13.9","10.5","2.5","1.4","4.6","",".","0.4",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"346
E M A","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","8","3.286","12.5","50.0",".","25.0",".",".",".","12.5","",".",".",".","",".","",".",".",".","."
"Sophomore","","187","2.893","12.8","15.5","31.0","18.7","13.4","1.6","1.6","5.3","",".",".",".","",".","",".",".",".","."
"Junior","","216","2.928","20.4","15.3","31.9","12.5","13.0","3.7","1.4","1.9","",".",".",".","",".","",".",".",".","."
"Senior","","199","2.968","22.6","18.6","28.1","14.6","10.6","3.5","2.0",".","",".",".",".","",".","",".",".",".","."
"Undergraduates","","610","2.935","18.7","16.9","30.0","15.2","12.1","3.0","1.6","2.5","",".",".",".","",".","",".",".",".","."
"Special","","8","3.563","37.5","50.0",".","12.5",".",".",".",".","",".",".",".","",".","",".",".",".","."
"Graduate","","95","3.615","44.2","14.7","12.6","5.3","1.1",".",".","18.9","",".","3.2",".","",".","",".",".",".","."
"","Dept. Total","713","3.021","22.3","17.0","27.3","13.9","10.5","2.5","1.4","4.6","",".","0.4",".","",".","",".",".",".","."
