"MECHANICAL ENGINEERING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","55","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","160
001","22","3.364","22.7","54.5","18.2",".",".",".","4.5",".",".",".",".",".",".",".",".","."
"","160
002","22","3.523","40.9","31.8","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","160
003","24","3.478","37.5","33.3","20.8",".",".","4.2",".","4.2",".",".",".",".",".",".",".","."
"Architectural Graphics","Course Total","68","3.455","33.8","39.7","19.1","2.9",".","1.5","1.5","1.5",".",".",".",".",".",".",".","."
"","170
001","15","3.333","13.3","60.0","6.7","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"","170
002","19","3.158","26.3","26.3","26.3","15.8",".",".","5.3",".",".",".",".",".",".",".",".","."
"","170
003","19","3.500","42.1","47.4",".",".","5.3","5.3",".",".",".",".",".",".",".",".",".","."
"Civil Engineering Graphics","Course Total","53","3.330","28.3","43.4","11.3","11.3","1.9","1.9","1.9",".",".",".",".",".",".",".",".","."
"Intro Engineering Graphics","231
001","102","3.216","27.5","24.5","22.5","14.7","10.8",".",".",".",".",".",".",".",".",".",".","."
"","232
001","64","3.135","20.3","23.4","29.7","18.8","4.7",".","1.6",".",".",".",".",".",".",".","1.6","."
"","002
232","21","3.071","19.0","19.0","33.3","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"Geom Modeling-Engr Applcatn","Course Total","85","3.119","20.0","22.4","30.6","17.6","7.1",".","1.2",".",".",".",".",".",".",".","1.2","."
"","240
001","47","2.660","10.6","14.9","21.3","27.7","14.9","8.5","2.1",".",".",".",".",".",".",".",".","."
"","240
002","48","2.479","8.3","8.3","31.3","12.5","25.0","10.4","4.2",".",".",".",".",".",".",".",".","."
"Dynamics","Course Total","95","2.568","9.5","11.6","26.3","20.0","20.0","9.5","3.2",".",".",".",".",".",".",".",".","."
"Undergrad Mech Engr Project","291
050","7","3.550","28.6","42.9","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
050","10","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","Course Total","11","3.771","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","306
001","40","2.563","7.5","17.5","15.0","20.0","32.5","5.0","2.5",".",".",".",".",".",".",".",".","."
"","306
002","46","2.924","6.5","26.1","37.0","19.6","6.5","2.2","2.2",".",".",".",".",".",".",".",".","."
"Mechanics of Materials","Course Total","86","2.756","7.0","22.1","26.7","19.8","18.6","3.5","2.3",".",".",".",".",".",".",".",".","."
"","307
001","11","3.545","45.5","27.3","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","307
002","9","3.389","55.6","22.2",".","11.1",".","11.1",".",".",".",".",".",".",".",".",".","."
"","307
003","14","3.393","35.7","28.6","21.4","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"","307
005","6","3.250","16.7","33.3","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","307
006","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","007
307","14","3.321","35.7","21.4","28.6",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"","307
008","18","3.250","27.8","33.3","22.2","5.6","5.6","5.6",".",".",".",".",".",".",".",".",".","."
"","307
009","14","3.429","35.7","28.6","21.4","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Mechanics of Materials Lab","Course Total","93","3.398","37.6","29.0","19.4","7.5","4.3","2.2",".",".",".",".",".",".",".",".",".","."
"","313
001","46","3.076","15.2","23.9","32.6","17.4","10.9",".",".",".",".",".",".",".",".",".",".","."
"","313
002","46","3.272","21.7","28.3","34.8","13.0","2.2",".",".",".",".",".",".",".",".",".",".","."
"Manufacturing Processes","Course Total","92","3.174","18.5","26.1","33.7","15.2","6.5",".",".",".",".",".",".",".",".",".",".","."
"","314
001","46","3.133","15.2","21.7","43.5","13.0","2.2","2.2",".",".",".",".",".",".","2.2",".",".","."
"","314
002","36","3.250","25.0","36.1","22.2","8.3","2.8","5.6",".",".",".",".",".",".",".",".",".","."
"Intro-Competitv Manufactrng","Course Total","82","3.185","19.5","28.0","34.1","11.0","2.4","3.7",".",".",".",".",".",".","1.2",".",".","."
"","001
340","59","2.888","13.6","10.2","45.8","11.9","11.9","3.4","1.7",".",".",".",".",".",".","1.7",".","."
"","340
002","48","2.990","12.5","25.0","27.1","27.1","6.3",".","2.1",".",".",".",".",".",".",".",".","."
"Intro to Dynamic Systems","Course Total","107","2.934","13.1","16.8","37.4","18.7","9.3","1.9","1.9",".",".",".",".",".",".","0.9",".","."
"","342
001","26","2.615","3.8","23.1","15.4","23.1","30.8",".","3.8",".",".",".",".",".",".",".",".","."
"","342
002","39","2.756","10.3","17.9","28.2","20.5","12.8","10.3",".",".",".",".",".",".",".",".",".","."
"Design of Machine Elements","Course Total","65","2.700","7.7","20.0","23.1","21.5","20.0","6.2","1.5",".",".",".",".",".",".",".",".","."
