"MATERIALS SCI AND ENGINEERI Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"636
M S & E","","","","","","","","","","","","","","","","","","","",""
"1
Cooperative Education Prog","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"250","001","","18","3.417","55.6","11.1","16.7","5.6","5.6","5.6",".",".",".",".",".",".",".",".",".","."
"250","002","","19","3.289","57.9","10.5","15.8","5.3",".",".","10.5",".",".",".",".",".",".",".",".","."
"Intro to Modern Materials","Course Total","","37","3.351","56.8","10.8","16.2","5.4","2.7","2.7","5.4",".",".",".",".",".",".",".",".","."
"332
Macroprocessing-Materials","001","","16","3.625","43.8","37.5","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"350
Intro to Materials Science","001","","131","3.233","28.2","19.8","37.4","3.8","8.4","2.3",".",".",".",".",".",".",".",".",".","."
"351
Struct&Property Rels-Solids","001","","36","2.986","19.4","16.7","36.1","19.4","2.8",".","5.6",".",".",".",".",".",".",".",".","."
"360","001","","8","3.500","37.5","25.0","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"360","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Materials Laboratory I","Course Total","","13","3.125","23.1","23.1","38.5",".",".",".","7.7",".",".",".",".",".","7.7",".",".","."
"362
Materials Laboratory III","001","","13","3.692","38.5","61.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"379
Materials Sys&Design Proj I","001","","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"390
Materials Sys&Desgn Proj II","001","","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"401","001","","41","3.636","43.9","34.1","17.1",".",".",".",".","2.4",".",".",".",".","2.4",".",".","."
"401","002","","9","3.444","44.4","22.2","22.2",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"401","003","","14","3.321","35.7","42.9","7.1","7.1",".",".","7.1",".",".",".",".",".",".",".",".","."
"401","004","","16","3.893","75.0","6.3","6.3",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"401","005","","11","3.636","54.5","18.2","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in Mat Sci&Engr","Course Total","","91","3.607","49.5","27.5","15.4","1.1","1.1",".","1.1","3.3",".",".",".",".","1.1",".",".","."
"448
Crystallog & Xray Diffractn","001","","18","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"451
Intro to Ceramic Materials","001","","24","2.646","16.7","8.3","20.8","20.8","25.0","4.2","4.2",".",".",".",".",".",".",".",".","."
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"702
Grad Cooperative Educ Program","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"770
Surf&Interface Characterztn","001","","18","3.818","50.0",".","11.1",".",".",".",".",".",".",".",".",".","38.9",".",".","."
"790","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","033","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research or Thesis","Course Total","","19","",".",".",".",".",".",".",".","57.9",".",".",".","42.1",".",".",".","."
"803","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"803","005","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"803","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"803","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"803","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 133 of 399",""
