"LIFE SCIENCES COMMUNICATIO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"120
L SC COM","","","","","","","","","","","","","","","","","","",""
"","100
001","20","3.575","40.0","45.0","10.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","100
002","19","3.447","31.6","31.6","31.6","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","100
003","18","3.472","33.3","38.9","16.7","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","100
004","18","3.500","33.3","44.4","16.7",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","100
005","19","3.395","26.3","36.8","26.3","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"","100
006","16","3.406","31.3","43.8","18.8",".",".","6.3",".",".",".",".",".",".",".",".",".","."
"Intro Com: Inquiry&Expositn","Course Total","110","3.468","32.7","40.0","20.0","4.5","1.8","0.9",".",".",".",".",".",".",".",".",".","."
"Sci&Technology Newswriting","111
001","17","3.088","23.5","11.8","29.4","29.4","5.9",".",".",".",".",".",".",".",".",".",".","."
"Family & Consumer Newswrtg","130
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Scientific Communication","212
001","19","3.684","78.9","10.5","5.3",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"","299
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
012","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
033","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
034","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","22","3.750","95.5",".",".",".",".",".","4.5",".",".",".",".",".",".",".",".","."
"Feature Writing","320
001","19","3.895","78.9","21.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Comm Tech&Soc Effct","340
001","14","3.214","35.7","28.6","21.4",".",".","14.3",".",".",".",".",".",".",".",".",".","."
"Practicum in Agri-science Educ","345
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Visualizing Sci & Technology","350
001","24","3.792","70.8","16.7","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
001","15","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
002","15","3.700","86.7","6.7",".",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"","360
003","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Information Radio","Course Total","37","3.811","81.1","16.2",".",".",".",".","2.7",".",".",".",".",".",".",".",".","."
"","375
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","375
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","375
005","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
012","6","3.923","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
024","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
034","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
078","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","10","3.074","80.0","10.0",".",".",".",".","10.0",".",".",".",".",".",".",".",".","."
"Consumer Investgtv Reportng","430
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Integrated Marktng Communicatn","435
001","13","3.692","53.8","30.8","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stdt Teaching in Agri-sci Educ","445
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Publications Editing","505
001","10","3.650","60.0","10.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","515
001","13","3.500","38.5","30.8","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","515
002","8","3.750","75.0",".","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pub Info Campaigns & Progms","Course Total","21","3.595","52.4","19.0","23.8","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","530
001","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","530
002","15","2.700","40.0","20.0","6.7",".",".","20.0","13.3",".",".",".",".",".",".",".",".","."
"Print&Electronic Media Dsgn","Course Total","25","3.180","56.0","20.0","4.0",".",".","12.0","8.0",".",".",".",".",".",".",".",".","."
